Position,Artist,Song_Title,Lyrics
1,Three Dog Night,Joy To The World,"Jeremiah was a bull frog
Was a good friend of mine
I never understood a single word he said
But I helped him a-drink his wine
And he always had some mighty fine wine

Singin' joy to the world
All the boys and girls: now
Joy to the fishes in the deep blue sea
Joy to you and me

If I were the king of the world
Tell you what I'd do
I'd throw away the cars and the bars and the wars
Make sweet love to you

Singin' now
Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me

You know I love the ladies
Love to have my fun
I'm a high night flier and a rainbow rider
A straight-shootin' son of a gun
I said a straight shootin' son of a gun

Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me

Joy to the world
All the boys and girls
Joy to the world
Joy to you and me

Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me

Joy to the world
Joy to you and me

Joy to the world: yeah yeah
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me

Joy to the world
Joy to you and me

Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me

You know I mean joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me"
2,Rod Stewart,Maggie May / (Find A) Reason To Believe,"Wake up: Maggie: I think I got something to say to you
It's late September: and I really should be back at school
I know I keep you amused
But I feel I'm being used
Oh Maggie: I couldn't have tried any more

You led me away from home
Just to save you from being alone
You stole my heart: and that's what really hurts

The morning sun: when it's in your face: really shows your age
But that don't worry me none: in my eyes you're everything
I laughed at all of your jokes
My love you didn't need to coax
Oh Maggie: I couldn't have tried any more

You led me away from home
Just to save you from being alone
You stole my soul: and that's a pain I can do without

All I needed was a friend to lend a guiding hand
But you turned into a lover: and: mother: what a lover: you wore me out
All you did was wreck my bed
And in the morning kick me in the head
Oh Maggie: I couldn't have tried any more

You led me away from home
Cause you didn't want to be alone
You stole my heart: I couldn't leave you if I tried

I suppose I could collect my books and get on back to school
Or steal my daddy's cue and make a living out of playing pool
Or find myself a rock 'n' roll band
That needs a helping hand
Oh Maggie: I wish I'd never seen your face

You made a first-class fool out of me
But I'm as blind as a fool can be
You stole my heart: but I love you anyway

Maggie: I wish I'd never seen your face
I'll get on back home one of these days"
3,Carole King,It's Too Late / I Feel The Earth Move,"Stayed in bed all morning just to pass the time
There's something wrong here: there can be no denyin'
One of us is changing or maybe we've just stopped tryin'

And it's too late: baby: now it's too late
Though we really did try to make it
Something inside has died and I can't hide
And I just can't fake it
Oh no: no: no: no (no: no: no: no)

It used to be so easy living here with you
You were light and breezy and I knew just what to do
Now you look so unhappy and I feel like a fool

And it's too late: baby: now it's too late
Though we really did try to make it (we can't make it)
Something inside has died and I can't hide
And I just can't fake it
Oh no: no

There'll be good times again for me and you
But we just can't stay together: don't you feel it too
Still: I'm glad for what we had and how I once loved you

But it's too late: baby: now it's too late
Though we really did try to make it (we can't make it now)
Something inside has died and I can't hide
And I just can't fake it
Oh no: no: no: no: no

It's too late: baby
It's too late: now darling
It's too late"
4,Osmonds,One Bad Apple,"Yeah: yeah

I can tell you've been hurt
By that look on your face: girl
Some guy brought sadness
Into your happy world

You need love
But you're afraid that if you give in
Someone else will come along
And sock it to you again

One bad apple don't
Spoil the whole bunch: girl
Oh: give it one more try
Before you give up on love

One bad apple don't
Spoil the whole bunch: girl
Oh: I don't care what they say
I don't care what you heard

I could make you happy: baby
Satisfy you too (satisfy you now)
But how can I if you
Won't give me a chance
To prove my love to you

Won't you just give me one
Little chance (one little chance now)
I'll give you love's guarantee
That you won't be hurt again

One bad apple
Don't spoil the whole bunch: girl
Oh: give it one more try
Before you give up on love

One bad apple
Don't spoil the whole bunch: girl
Oh: I don't care what they say
I don't care what you heard now

I've been noticing you: baby
For a long: long time (long: long time now)
I'm not ashamed to tell the world
That you really messed up my mind

Girl: to me
You're like a dream come true (dream come true now)
I'd rather hurt myself
Than to ever hurt you

One bad apple
Don't spoil the whole bunch: girl
Oh: give it one more try
Before you give up on love

One bad apple
Don't spoil the whole bunch: girl
Oh: I don't care what they say
I don't care what you heard now

One bad apple
Don't spoil the whole bunch: girl
No: give it one more try
Before you give up on love

One bad apple
Don't spoil the whole bunch: girl
Oh now: I don't care what they say
I don't care what you heard now"
5,Bee Gees,How Can You Mend A Broken Heart,"I can think of younger days
When living for my life
Was everything a man could want to do
I could never see tomorrow
But I was never told about the sorrow

And how can you mend a broken heart?
How can you stop the rain from falling down?
How can you stop the sun from shining?
What makes the world go 'round?

How can you mend this broken man?
How can a loser ever win?
Please help me mend my broken heart
And let me live again
La-la la-la-la

I can still feel the breeze
That rustles through the trees
And misty memories of days gone by
We could never see tomorrow
No one said a word about the sorrow

And how can you mend a broken heart?
How can you stop the rain from falling down?
How can you stop the sun from shining?
What makes the world go 'round?

And how can you mend this broken man?
How can a loser ever win?
Please help me mend my broken heart
And let me live again

Da da da-da la-la: la-la-da-da
La-la la-la la-da-la

Please help me mend my broken heart
And let me live again

La-da-da-da
Da-da-da-da: da-da-da da-da-da"
6,Raiders,Indian Reservation,"They took the whole Cherokee nation
Put us on this reservation
Took away our ways of life
The tomahawk and the bow and knife

Took away our native tongue
And taught their English to our young
And all the beads we made by hand
Are nowadays made in Japan

Cherokee people
Cherokee tribe
So proud you lived
So proud you died

They took the whole Indian nation
Locked us on this reservation
Though I wear a shirt and tie
I'm still part redman deep inside

Cherokee people
Cherokee tribe
So proud you lived
So proud you died

But maybe someday when we've learned
Cherokee nation will return
Will return: will return
Will return: will return"
7,Donny Osmond,Go Away Little Girl,"Go away little girl
Go away little girl
I'm not supposed to be alone with you

I know that your lips are sweet
but our lips must never meet
I'm dating somebody else and I must be true

Oh: go away little girl (go away little girl)
Go away little girl (go away little girl)
It's hurting me more each minute that we delay

When you're near me like this
You're much too hard to resist
So go away little girl
Before I beg you to stay

(Go away little girl) Go away little girl
(Go away little girl) Oh: go away little girl
(It hurts me more the more that we delay)

When you're near me like this
You're much too hard to resist
So: go away little girl
Let's call it a day little girl
Please: go away little girl
Before I beg you to stay

(Go away) Go away little girl
(Go away) Go away little girl
(Go away) Please: go away little girl
(Go away) Go away little girl
(Go away)"
8,John Denver,"Take Me Home, Country Roads","Almost heaven: West Virginia
Blue Ridge Mountains: Shenandoah River
Life is old there: older than the trees
Younger than the mountains: growing like a breeze

Country roads: take me home to the place I belong
West Virginia: Mountain Mama
Take me home: country roads

All my memories gather 'round her
Miner's lady: stranger to blue water
Dark and dusty: painted on the sky
Misty taste of moonshine: teardrop in my eye

Country roads: take me home to the place I belong
West Virginia: Mountain Mama
Take me home: country roads

I hear her voice: in the mornin' hour she calls me
The radio reminds me of my home far away
And drivin' down the road: I get a feelin
That I should have been home yesterday: yesterday

Country roads: take me home to the place I belong
West Virginia: Mountain Mama
Take me home: country roads

Country roads: take me home to the place I belong
West Virginia: Mountain Mama
Take me home: country roads
Take me home: (down) country roads
Take me home: (down) country roads"
9,Temptations,Just My Imagination (Running Away With Me),"Mm: hmm: mm
Ooh

Each day through my window I watch her as she passes by
I say to myself: you're such a lucky guy
To have a girl like her is truly a dream come true
Out of all the fellas in the world: she belongs to you

But it was just my imagination
Running away with me
It was just my imagination
Running away with me
Ooh-ooh: ooh: hoo (so)

Soon we'll be married and raise a family (oh yeah)
A cozy little home out in the country with two children: maybe three
I tell you I can visualize it all
This couldn't be a dream for too real it all seems

But it was just my imagination once again
Running away with me
Telling you it was just my imagination
Running away with me

Every night on my knees I pray
Dear Lord: hear my plea
Don't ever let another take her love from me
Or I would surely die

Mm: her love is heavenly
When her arms enfold me
I hear a tender rhapsody
But in reality
She doesn't even know me

Just my imagination once again
Running away with me
Oh: tell you it was just my imagination
Running away with me
I never met her: but I can't forget her

Just my imagination: ooh: yeah: yeah: yeah: yeah
Running away with me
Ooh: just my imagination
Running away with me"
10,Dawn,Knock Three Times,"Hey girl: whatcha doing down there
Dancing alone every night while I live right above you
I can hear your music playing
I can feel your body swaying
One floor below me: you don't even know me
I love you

Oh: my darling
Knock three times on the ceiling if you want me
Mm: twice on the pipe if the answer is no
Oh: my sweetness
Means you'll meet me in the hallway
Whoa: twice on the pipe means you ain't gonna show

If you look out your window tonight
Pull in the string with the note that's attached to my heart
Read how many times I saw you
How in my silence I adored you
And only in my dreams did that wall between us come apart

Oh: my darling
Knock three times on the ceiling if you want me
Mm: twice on the pipe if the answer is no
Oh: my sweetness
Means you'll meet me in the hallway
Whoa: twice on the pipe means you ain't gonna show

Whoa: I can hear your music playing
I can feel your body swaying
One floor below me: you don't even know me
I love you

Oh: my darling
Knock three times on the ceiling if you want me
Mm: twice on the pipe if the answer is no (I love you: I love you)
Oh: my sweetness
Means you'll meet me in the hallway
Mm: twice on the pipe means you ain't gonna show

Oh: my darling
Knock three times"
