Position,Artist,Song_Title,Lyrics
1,Perez Prado,Cherry Pink And Apple Blossom White,"It's cherry pink and apple blossom white
When your true lover comes your way
It's cherry pink and apple blossom white
It's cherry pink and apple blossom white
When your true lover comes your way
It's cherry pink and apple blossom white
The poets say

The story goes that once a cherry tree
Beside an apple tree did grow
And there a boy once met his bride to be
Long long ago

The boy looked into her eyes: it was a sight to enthrall
The breezes joined in their sighs: the blossoms started to fall
And as they gently carressed: the lovers looked up to find
The branches of the two trees were intertwined

And that is why the poets always write
If there's a new moon bright above
It's cherry pink and apple blossom white
When you're in love"
2,Bill Haley and His Comets,Rock Around The Clock,"One: two: three o'clock: four o'clock rock
Five: six: seven o'clock: eight o'clock rock
Nine: ten: eleven o'clock: twelve o'clock rock
We're gonna rock around the clock tonight

Put your glad rags on: join me: hon'
We'll have some fun when the clock strikes one
We're gonna rock around the clock tonight
We're gonna rock: rock: rock till broad daylight
We're gonna rock: gonna rock around the clock tonight

When the clock strikes two: three and four
If the band slows down: we'll yell for more
We're gonna rock around the clock tonight
We're gonna rock: rock: rock till broad daylight
We're gonna rock: gonna rock around the clock tonight

When the chimes ring five: six: and seven
We'll be right in seventh heaven
We're gonna rock around the clock tonight
We're gonna rock: rock: rock till broad daylight
We're gonna rock: gonna rock around the clock tonight

When it's eight: nine: ten: eleven too
I'll be going strong and so will you
We're gonna rock around the clock tonight
We're gonna rock: rock: rock till broad daylight
We're gonna rock: gonna rock around the clock tonight

When the clock strikes twelve: we'll cool off then
Start a-rockin' round the clock again
We're gonna rock around the clock tonight
We're gonna rock: rock: rock till broad daylight
We're gonna rock: gonna rock around the clock tonight"
3,Mitch Miller,The Yellow Rose Of Texas,"There's a yellow rose in Texas that I am gonna see
Nobody else could miss her: not half as much as me
She cried so when I left her: it was like it broke her heart
And if I ever find her: we never more will part

She's the sweetest little rosebud that Texas ever knew
Her eyes are bright as diamonds: they sparkle like the dew
You may talk about your Clementine and sing of Rosa Lee
But the yellow rose of Texas is the only girl for me

Where the Rio Grand is flowing and the starry skies are bright
She walks along the river in the quiet summer night
I know that she remembers when we parted long ago
I promise to return and not to leave her so

She's the sweetest little rosebud that Texas ever knew
Her eyes are bright as diamonds they sparkle like the dew
You may talk about your Clementine and sing of Rosa Lee
But the yellow rose of Texas is the only girl for me

Now I'm gonna find her for my heart is full of woe
We'll do the things together we did so long ago
We'll play the banjo gaily: she'll loves me like before
And the yellow rose of Texas shall be mine forever more

She's the sweetest little rosebud that Texas ever knew
Her eyes are bright as diamonds: they sparkle like the dew
You may talk about your Clementine and sing of Rosa Lee
But the yellow rose of Texas is the only girl for me"
4,Roger Williams,Autumn Leaves,"The falling leaves drift by the window
The autumn leaves of red and gold
I see your lips: the summer kisses
The sunburned hand I used to hold

Since you went away the days grow long
And soon I'll hear old winter's song
But I miss you most of all: my darling
When autumn leaves start to fall

I see your lips: the summer kisses
The sunburned hand I used to hold

Since you went away the days grow long
And soon I'll hear old winter's song
But I miss you most of all: my darling
When autumn leaves start to fall"
5,Les Baxter,Unchained Melody,"Unchain me: unchain me
Unchain me: unchain me
Unchain me

Unchain me: unchain me
Unchain me: unchain me

Oh: my love: my darling
I've hungered for your touch
A long: lonely time

Time goes by so slowly
And time can do so much
Are you still mine
I need your love: I need your love
God speed your love to me"
6,Bill Hayes,The Ballad Of Davy Crockett,"Davy: Davy Crockett: king of the wild frontier

Born on a mountain top in Tennessee
The greenest state in the land of the free
Raised in the woods so he knew ev'ry tree
Kilt him a b'ar when he was only three
Davy: Davy Crockett: king of the wild frontier

He fought single-handed through the Injun War
Till the Creeks was whipped an' peace was in store
An' while he was handlin' this risky chore
Made hisself a legend for evermore
Davy: Davy Crockett: king of the wild frontier

When he lost his love an' his grief was gall
In his heart he wanted to leave it all
And lose himself in the forests tall
But he answered instead his country's call
Davy: Davy Crockett: choice of the whole frontier

He went off to Congress an' served a spell
Fixin' up the Govern'ments an' laws as well
Took over Washin'ton so we heered tell
An' patched up the crack in the Liberty Bell
Davy: Davy Crockett: servin' his country well

When he come home his politickin' done
The western march had just begun
So he packed his gear an' his trusty gun
An' lit out grinnin' to follow the sun
Davy: Davy Crockett: leadin' the pioneer

His land is biggest an' his land is best
From grassy plains to the mountain crest
He's ahead of us all meetin' the test
Followin' his legend into the West
Davy: Davy Crockett: king of the wild frontier

King of the wild frontier"
7,Four Aces,Love Is A Many Splendored Thing,"Love is a many splendored thing
It's the April rose that only grows in the early Spring
Love is nature's way of giving a reason to be living
The golden crown that makes a man a king

Once on a high and windy hill: In the morning mist
Two lovers kissed and the world stood still
Then your fingers touched my silent heart and taught it how to sing
Yes: true love's a many splendored thing

Once on a high and windy hill: In the morning mist
Two lovers kissed and the world stood still
Then your fingers touched my silent heart and taught it how to sing
Yes: true love's a many splendored thing"
8,McGuire Sisters,Sincerely,"Sincerely
Oh yes: sincerely
'Cause I love you so dearly
Please say you'll be mine

Sincerely
Oh: you know how I love you
I'll do anything for you
Please say you'll be mine

Oh Lord: won't you tell me why
I love that fella so
He doesn't want me
But I'll never: never: never: never let him go

Sincerely
Oh: you know how I love you
I'll do anything for you
Please say you'll be mine

Oh Lord: won't you tell me why
I love that fella so
He doesn't want me
But I'll never: never: never: never let him go

Sincerely
Oh: you know how I love you
I'll do anything for you
Please say you'll be mine
Please say you'll be mine"
9,Pat Boone,Ain't That A Shame,"You made me cry 
When you said goodbye
Ain't that a shame 
My tears fell like rain 
Ain't that a shame 
You' re the one to blame 

You broke my heart 
When you said we're apart 
Ain't that a shame
My tears fell like rain 
Ain't that a shame 
You' re the one to blame 

Oh well goodbve 
Although I'll cry 
Ain't that a shame 
My tears fell like rain 
Ain't that a shame 
You' re the one to blame"
10,Georgia Gibbs,Dance With Me Henry,
