Position,Artist,Song_Title,Lyrics
11,Crazy Otto,Crazy Otto Medley I and II,
12,Billy Vaughn,Melody Of Love,"Waltz tempo
Hold me in your arms: dear: dream with me
Cradled by your kisses: tenderly
While a choir of angels from above
Sings our melody of love

Heart to heart forever: lips entwined
I am yours and you are mine: all mine
Heaven wrote the music up above
For our melody of love

Melody of love"
13,Tennessee Ernie Ford,Sixteen Tons,"Some people say a man is made out of mud
A poor man's made out of muscle and blood
Muscle and blood and skin and bones
A mind that's weak and a back that's strong

You load sixteen tons: whattaya get?
Another day older and deeper in debt
St. Peter don'cha call me: 'cause I can't go
I owe my soul to the company store

I was born one morning when the sun didn't shine
I picked up my shovel and I walked to the mine
I loaded sixteen tons of number-nine coal
And the straw boss said: ""Well bless my soul!""

You load sixteen tons: whattaya get?
Another day older and deeper in debt
St. Peter don'cha call me: 'cause I can't go
I owe my soul to the company store

I was born one morning: it was drizzlin' rain
Fightin' and trouble are my middle name
I was raised in the canebreak by an old mama lion
Can't no high-toned woman make me walk the line

You load sixteen tons: whattaya get?
Another day older and deeper in debt
St. Peter don'cha call me: 'cause I can't go
I owe my soul to the company store

If you see me comin' better step aside
A lotta men didn't: a lotta men died
One fist of iron: the other of steel
If the right one don't getcha then the left one will

You load sixteen tons: whattaya get?
Another day older and deeper in debt
St. Peter don'cha call me: 'cause I can't go
I owe my soul to the company store"
14,Frank Sinatra,Learnin' The Blues,"The tables are empty - the dance floor's deserted
You play the same love song - it's the tenth time you've heard it
That's the beginning - just one of the clues
You've had your first lesson - in learnin' the blues

The cigarettes you light - one after another
Won't help you forget her - and the way that you love her
You're only burning - a torch you can't lose
But you're on the right track - for learnin' the blues

When you're at home alone: the blues will taunt you - constantly
When you're out in a crowd: the blues will haunt your memory

The nights when you don't sleep - the whole night you're crying
You just can't forget her - soon you even stop trying
You'll walk the floor - and wear out your shoes
When you feel your heart break - you're learnin' the (those) blues"
15,Fontaine Sisters,Hearts Of Stone,
16,Georgia Gibbs,Tweedle Dee,"Tweedle dee dee: tweedle dee dee
Tweedle dee dee: tweedle dee dee

Tweedle tweedle tweedle dee
I'm as happy as can be.
Jimminy cricket: jimminy jack:
You make my heart go clickety-clack.
Tweedle tweedle tweedle dee

Tweedle tweedle tweedle dot
How you gonna keep that honey you got
Hunkies hunkies fish that bite
I'm gonna see my honey tonight
Tweedle tweedle tweedle dot

Tweedle dum tweedle dum
Give it up give it up:
Give your love to me
Tweedle dot: tweedle dot
Gimme gimme gimme gimme
Gimme all the love you got

Tweedle tweedle tweedle dum
I'm a lucky so-and-so
Hubba hubba honey do
I'm gonna keep my eyes on you
Tweedle tweedle tweedle dum

Tweedle dum: tweedle dum
Give that kiss to me before you go
Tweedle dum: tweedle dum
Lookie lookie lookie lookie
Look at that sugar plum

Tweedle dee tweedle dum
You're as sweet as bubble gum
Mercy: mercy: pudding pie:
You got something that money can't buy
Tweedle tweedle tweedle dum"
17,Four Lads,Moments To Remember,"January to December: we'll have moments to remember

The New Year's Eve we did the town
The day we tore the goal post down
We'll have these moments to remember

The quiet walks: the noisy fun
The ballroom prize we almost won
We will have these moments to remember

Though summer turns to winter
And the present disappears
The laughter we were glad to share
Will echo through the years

When other nights and other days
May find us gone our separate ways
We will have these moments to remember

spoken:

The drive in movie where we'd go
And somehow never watched the show
We will have these moments to remember

Though summer turns to winter
And the present disappears
The laughter we were glad to share
Will echo through the years

When other nights and other days
May find us gone our separate ways
We will have these moments to remember"
18,Chordettes,Mr. Sandman,"Mr. Sandman: bring me a dream
Make him the cutest that I've ever seen
Give him two lips like roses and clover
Then tell him that his lonesome nights are over

Sandman: I'm so alone
Don't have nobody to call my own
Please turn on your magic beam
Mr. Sandman: bring me a dream

Mr. Sandman: bring me a dream
Make him the cutest that I've ever seen
Give him the word that I'm not a rover
Then tell him that his lonesome nights are over

Sandman: I'm so alone
Don't have nobody to call my own
Please turn on your magic beam
Mr. Sandman: bring me a dream

Mr. Sandman (Yes?) bring us a dream
Give him a pair of eyes with a come-hither gleam
Give him a lonely heart like Pagliacci
And lots of wavy hair like Liberace

Mr. Sandman: someone to hold (Someone to hold)
Would be so peachy before we're too old
So please turn on your magic beam
Mr. Sandman: bring us: please: please: please
Mr. Sandman: bring us a dream"
19,Joan Weber,Let Me Go Lover,
20,Nat King Cole,A Blossom Fell,"A blossom fell from off a tree
It settled softly on the lips you turned to me
The gypsies say and I know why
""A falling blossom only touches lips that lie.""

A blossom fell and very soon
I saw you kissing someone new beneath the moon

I thought you loved me
You said you loved me
We planned together
To dream forever

The dream has ended
For true love died
The night a blossom fell
And touched two lips that lied

A blossom fell and very soon
I saw you kissing someone new beneath the moon

I thought you loved me
You said you loved me
We planned together
To dream forever

The dream has ended
For true love died
The night a blossom fell
And touched two lips that lied"
21,Al Hibbler,Unchained Melody,"Oh: my love: my darling:
I've hungered for your touch a long: lonely time:
Time goes by so slowly and time can do so much.
Are you still mine?
I need your love: I need your love: God speed your love to me.

Lonely rivers flow to the sea: to the sea
To the open arms of the sea
Lonely rivers sigh: ""Wait for me: wait for me""
""I'll be coming home: wait for me!""

Are you still mine?
I need your love: I need your love: God speed your love to me"
22,Fess Parker,The Ballad Of Davy Crockett,
23,Art Mooney,Honey Babe,
24,Tennessee Ernie Ford,The Ballad Of Davy Crockett,"Born on a mountain in Tennessee
Greenest state in the land of the free
Raised in the woods so's he knew every tree
He killed him a b'ar when he was only three

Davy: Davy Crockett: king of the wild frontier

Fought single-handed through the Injun war
Till the Creeks was whipped and the peace was in store
And while he was a'handlin' this risky chore
Made hisself a legend forever more

Davy: Davy Crockett: the man who don't know fear

When he lost his love: his grief was gall
In his heart: he wanted to leave it all
And lose hisself in the forest tall
But he answered: instead: his country's call

Davy: Davy Crockett: the choice of the whole frontier

He went off to Congress and served a spell
Fixin' up the government and laws as well
Took over Washington: so I hear tell
And patched up a crack in the Liberty Bell

Davy: Davy Crockett: seein' his duty clear

When he came home: his politickin' done
Why: the big western march had just begun
So he packed his gear and his trusty gun
And lit out a'grinnin' to follow the sun

Davy: Davy Crockett: leadin' the pioneer

His land is the biggest: his land is the best
From grassy plaines to the mountain crest
He's ahead of us all and meetin' the test
And a'follern' his legend right into the west

Davy: Davy Crockett: king of the wild frontier
Davy: Davy Crockett: king of the wild frontier"
25,Perry Como,Ko Ko Mo,
26,Gisele Mackenzie,Hard To Get,
27,Ames Brothers,The Naughty Lady Of Shady Lane,"The naughty lady of Shady Lane has hit the town like a bomb
The back fence gossip ain't been this good since Mabel ran off with Tom
Our town was peaceful and quiet before she came on the scene
The lady has started a riot: disturbin' the suburban routine

The naughty lady of Shady Lane has the town in a whirl
The naughty lady of Shady Lane. Me: oh my: oh what a girl

You should see how she carries on with her admirants galore
She must be giving them quite a thrill: the way they flock to her door
She throws those ""come hither"" glances at every Tom: Dick and Joe
When offered some liquid refreshment: the lady never: never says: ""No""

The naughty lady of Shady Lane has the town in a whirl
The naughty lady of Shady Lane. Me: oh my: oh what a girl

The things they're trying to pin on her won't hold much water: I'm sure
Beneath the powder and fancy lace: there beats a heart sweet and pure
She just needs someone to change her and she'll be nice as can be
If you're in the neighbourhood: stranger: you're welcome to drop in and see

The naughty lady of Shady Lane: so delightful to hold
The naughty lady of Shady Lane. So delectable: quite respectable

And she's only nine days old"
28,Jaye P. Morgan,That's All I Want From You,"A little love that slowly grows and grows
Not one that comes and goes
That's all I want from you

A sunny day with bolts up to the sky
A kiss and no goodbye
That's all I want from you

Don't let me down: oh show me that you care
Remember when you give: you also get your share
Don't let me down: I have no time to waste
Tomorrow might not come: when dreamers dream too late

A little love that slowly grows and grows
Not one that comes and goes
That's all I want from you

Don't let me down: oh show me that you care
Remember when you give: you also get your share
Don't let me down: I have no time to waste
Tomorrow might not come: when dreamers dream too late

A little love that slowly grows and grows
Not one that comes and goes
That's all I want from you

That's all I want from you"
29,Platters,Only You,"Only you can make all this world seem right
Only you can make the darkness bright
Only you and you alone
Can thrill me like you do
And fill my heart with love for only you

Only you can make all this change in me
For it's true: you are my destiny
When you hold my hand
I understand the magic that you do
You're my dream come true
My one and only you

Only you can make all this change in me
For it's true: you are my destiny
When you hold my hand
I understand the magic that you do
You're my dream come true
My one and only you

One and only you"
30,Somethin' Smith and The Redheads,It's A Sin To Tell A Lie,"Be sure it's true when you say ""I love you""
It's a sin to tell a lie
Millions of hearts have been broken
Just because these words were spoken
I love you: yes I do: I love you
If you break my heart I'll die
So be sure it's true when you say ""I love you""
It's a sin to tell a lie

Cross my heart and I hope to die
I'll never: never: ever tell another white lie
Took a little doll out on a date last night
Next to her: *Gravel Gertie* would have looked all right
Now I'm between the devil and the deep blue sea
'Cause I said ""Baby: you look good to me""
I told her I loved her but: oh: how I lied
And now she's gettin' set to be my blushin' bride
If she leads me to the altar: then I'm sunk
'Cause I can't tell the preacher I was drunk
So Lord have mercy on a no 'count sinner
Give me one more chance to let another guy win 'er
Cross my heart and I hope to die
I'll never: never: EVER tell another white lie.

Be sure it's true when you say ""I love you""
It's a sin to tell a lie
Millions of hearts have been broken
Just because these words were spoken
I love you: yes I do: I love you
If you break my heart I'll die
So be sure it's true when you say ""I love you""
It's a sin to tell a lie"
