Position,Artist,Song_Title,Lyrics
15,Guy Mitchell and Mitch Miller,My Heart Cries For You,"(My heart cries for you)
(Sighs for you: dies for you)
(And my arms long for you)
(Please come back to me)

If you're in Arizona: I'll follow you
If you're in Minnesota: I'll be there too
You'll have a million chances to start anew
Because my love is endless for you

My heart cries for you
Sighs for you: dies for you
And my arms long for you
Please come back to me

An unimportant quarrel was what we had
We have to learn to live with the good and bad
Together we were happy: apart we're sad
This loneliness is driving me mad

My heart cries for you
Sighs for you: dies for you
And my arms long for you
Please come back to me

Please come back to me
Please come back
Come back: come back to me"
16,Eddy Howard,(It's No) Sin,
17,Vaughn Monroe,Sound Off,
18,Dinah Shore,Sweet Violets,
19,Les Paul and Mary Ford,The World Is Waiting For The Sunrise,
20,Guy Mitchell and Mitch Miller,"My Truly, Truly Fair","Oh: ho

Truly: truly fair: truly: truly fair
How I love my truly fair
There's songs to sing her: trinkets to bring her
Flowers for her golden hair

My truly: truly fair: truly: truly fair
How I love my truly fair
There's songs to sing her: trinkets to bring her
Flowers for her golden hair

Oh: ho

Some men plow the open plains
Some men sail the brine
But I'm in love with a pretty little maid
For work I have no time

She's my: truly: truly fair: truly: truly fair
How I love my truly fair
There's songs to sing her: trinkets to bring her
Flowers for her golden hair

Oh: ho

Once I sailed from Boston Bay
Bound for Singapore
But one day out and I missed her so
I swam right back to shore

Back to my truly fair: truly: truly fair
How I love my truly fair
There's songs to sing her: trinkets to bring her
Flowers for her golden hair

Oh: ho

I love she and she loves me
Pardon if I boast
At times: we fight all the live-long night
'Bout who loves who the most

My truly: truly fair: truly: truly fair
How I love my truly fair
There's songs to sing her: trinkets to bring her
Flowers for her golden hair

Oh: ho

Soon I'm gonna marry her
Love her till I die
There ain't no livin' on love alone
But still I'm gonna try

Truly: truly fair: truly: truly fair
How I love my truly fair
There's songs to sing her: trinkets to bring her
Flowers for her golden hair

How I love my truly fair
Wow: how I love my truly fair"
21,Four Aces and Al Alberta,(It's No) Sin,"Take away the breath of flowers
It would surely be a sin
Take the rain from April showers
It's a sin

Take away the violins: dear
From a lovely symphony
And the music deep within
Would cease to be

Is it a sin to love you so
To hold you close
And know you are leaving

Though you take away my heart: dear
Still the beating there within
I'll keep loving you forever
For it's no sin

Is it a sin to love you so
To hold you close
And know you are leaving

Though you take away my heart: dear
Still the beating there within
I'll keep loving you forever
For it's no sin"
22,Debbie Reynolds and Carleton Carpenter,Aba Daba Honeymoon,"Way down in the Congoland
Lived a happy chimpanzee.
She loved a monkey with long tail
(Lordy: how she loved him!)
Each night he would find her there:
Swinging in the cocoanut tree:
And the monkey gay:
At the break of day:
Loved to hear his Chimpie say:

""Aba: daba: daba: daba: daba: daba: dab:""
Said the Chimpie to the Monk:
""Baba: daba: daba: daba: daba: daba: dab:""
Said the Monkey to the Chimp.
All night long they'd chatter away:
All day long there were happy and gay:
Swinging and singing in their hunky-tonkey way.
""Aba: daba: daba: daba: daba: daba: dab:""
Means ""Monk: I love but you.""
""Baba: daba: dab:"" in monkey talk
Means ""Chimp: I love you: too.""
Then the big baboon one night in June:
He married them and very soon:
They went upon their aba: daba honeymoon.

""Aba: daba: daba: daba: daba: daba: dab:""
Said the Chimpie to the Monk:
""Baba: daba: daba: daba: daba: daba: dab:""
Said the Monkey to the Chimp.
All night long they'd chatter away:
All day long there were happy and gay:
Swinging and singing in their hunky-tonkey way.
""Aba: daba: daba: daba: daba: daba: dab:""
Means ""Monk: I love but you.""
""Baba: daba: dab:"" in monkey talk
Means ""Chimp: I love you: too.""
One night they were made man and wife:
And now they cry: ""This is the life:""
Since they came from their aba: daba honeymoon.

Well: you should have heard that band
Play upon their wedding day:
Each Chimp and Monkey had nutshells
(Lordy: how they played them)
And now it is ev'ry night:
High up in the cocoanut tree.
It's the same old thing:
With the same old swing:
When the Monk and Chimpie sing:

""Aba: daba: daba: daba: daba: daba: dab:""
Said the Chimpie to the Monk:
""Baba: daba: daba: daba: daba: daba: dab:""
Said the Monkey to the Chimp.
All night long they'd chatter away:
All day long there were happy and gay:
Swinging and singing in their hunky-tonkey way.
""Aba: daba: daba: daba: daba: daba: dab:""
Means ""Monk: I love but you.""
""Baba: daba: dab:"" in monkey talk
Means ""Chimp: I love you: too.""
Then the big baboon one night in June:
He married them and very soon:
They went upon their aba: daba honeymoon.

""Aba: daba: daba: daba: daba: daba: dab:""
Said the Chimpie to the Monk:
""Baba: daba: daba: daba: daba: daba: dab:""
Said the Monkey to the Chimp.
All night long they'd chatter away:
All day long there were happy and gay:
Swinging and singing in their hunky-tonkey way.
""Aba: daba: daba: daba: daba: daba: dab:""
Means ""Monk: I love but you.""
""Baba: daba: dab:"" in monkey talk
Means ""Chimp: I love you: too.""
One night they were made man and wife:
And now they cry: ""This is the life:""
Since they came from their aba: daba honeymoon."
23,Frankie Laine,"Rose, Rose I Love You","Rose: Rose I love you with an aching heart
What is your future: now we have to part?
Standing on the jetty as the steamer moves away
Flower of Malaya: I cannot stay

Make way: oh: make way for my Eastern Rose
Men crowd in dozens everywhere she goes
In her rickshaw on the street or in a cabaret
""Please make way for Rose:"" you can hear them say

All my life I shall remember
Oriental music and you in my arms
Perfumed flowers in your tresses
Lotus-scented breezes and swaying palms

Rose: Rose: I love you with your almond eyes
Fragrant and slender 'neath tropical skies
I must cross the seas again and never see you more
Way back to my home on a distant shore

(All my life I shall remember)
(Oriental music and you in my arms)
(Perfumed flowers in your tresses)
(Lotus-scented breezes and swaying palms) 

Rose: Rose: I leave you: my ship is in the bay
Kiss me farewell now: there's nothin' to say
East is East and West is West: our worlds are far apart
I must leave you now but I leave my heart

Rose: Rose: I love you with an aching heart
What is your future: now we have to part?
Standing on the jetty as the steamer moves away
Flower of Malaya: I cannot stay

(Rose: Rose: I love you: I cannot stay)"
24,Del Wood,Down Yonder,
25,Billy Eckstine,I Apologize,"If I told a lie: if I made you cry
When I said goodbye: I'm sorry
From the bottom of my heart: dear
I apologize

If I caused you pain: I know I'm to blame
Must have been insane: believe me
From the bottom of my heart: dear
I apologize

I realize I've been unfair to you
Please let me make amends
Don't say that you forgot the love we knew
After all: we were more than friends

Give me back your glance: give me back romance
Give me one more chance: forgive me
From the bottom of my heart: dear
I apologize

If I made you blue: I've had heartaches too
Now I beg of you: forgive me
From the bottom of my heart: dear
I apologize"
26,Patti Page,Would I Love You,
27,Perry Como and The Fontane Sisters,You're Just In Love,"I hear singing and there's no one there:
I smell blossoms and the trees are bare:
All day long I seem to walk on air:
I wonder why: I wonder why?

I keep tossing in my sleep at night:
And what's more I've lost my appetite:
Stars that used to twinkle in the skies:
Are twinkling in my eyes:
I wonder why?

You don't need analyzin'
It is not so surpisin'
That you feel very strange but nice!
Your heart goes pitter patter
I know just what's the matter
Because I've been there once or twice!

Put your head on my shoulder
You need someone who's older
A rub-down with a velvet glove!
There is nothing you can take
To relieve that pleasant ache
You're not sick: you're just in love!



Now you know why!
Now I know why!
I'm just in love!"
28,Ames Brothers and Les Brown,Undecided,
29,Phil Harris,The Thing,"While I was walking down the beach one bright and sunny day
I saw a great big wooden box a-floatin' in the bay
I pulled it in and opened it up and much to my surprise
Ooh: I discovered a (*boom-boom-boom*) right before my eyes
Ooh: I discovered a (*boom-boom-boom*) right before my eyes

I picked it up and ran to town as happy as a king
I took it to a guy I knew who'd buy most any thing
But this is what he hollered at me as I walked in his shop
Ooh: get outta here with that (*boom-boom-boom*) before I call a cop
Ooh: get outta here with that (*boom-boom-boom*) before I call a cop

I turned around and got right out: a-runnin' for my life
And than I took it home with me to give it to my wife
But this is what she hollered at me as I walked in the door
Oh: get outta here with that (*boom-boom-boom*) and don't come back no more
Oh: get outta here with that (*boom-boom-boom*) and don't come back no more

I wandered all around the town until I chanced to meet
A hobo who was looking for a handout on the street
He said he'd take most any old thing: he was a desperate man
But when I showed him the (*boom-boom-boom*): he turned around and ran
Oh: when I showed him the (*boom-boom-boom*): he turned around and ran

I wandered on for many years: a victim of my fate
Until one day I came upon St. Peter at the gate
And when I tried to take it inside: he told me where to go
Get outta here with that (*boom-boom-boom*) and take it down below
Oh: get outta here with that (*boom-boom-boom*) and take it down below

The moral of this story is if you're out on the beach
And you should see a great big box and it's within your reach
Don't ever stop and open it up: that's my advice to you
'Cause you'll never get rid of the (*boom-boom-boom*): no matter what you do
Oh: you'll never get rid of the (*boom-boom-boom*): no matter what you do

(*boom-boom-boom* = 3 strikes on the drum)"
30,Les Baxter,Because Of You,"Because of you there's a song in my heart
Because of you my romance had its start
Because of you the sun will shine
The moon and stars will say you're mine
Forever and never to part

I only live for your love and your kiss
It's paradise to be near you like this
Because of you my life is now worthwhile
And I can smile
Because of you

(Instrumental Interlude)

I only live for your love and your kiss
It's paradise to be near you like this
Because of you my life is now worthwhile
And I can smile
Because of you"
