Position,Artist,Song_Title,Lyrics
1,Coolio,Gangsta's Paradise,Unfortunately: we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?
2,TLC,Waterfalls,"A lonely mother gazing out of her window
Staring at a son that she just can't touch
If at any time he's in a jam: she'll be by his side
But he doesn't realize he hurts her so much

But all the praying just ain't helping at all
'Cause he can't seem to keep hisself out of trouble
So he goes out and he makes his money the best way he knows how
Another body laying cold in the gutter
Listen to me

Don't go chasin' waterfalls
Please stick to the rivers and the lakes that you're used to
I know that you're gonna have it your way or nothing at all
But I think you're moving too fast

Little Precious has a natural obsession
For temptation but he just can't see
She gives him loving that his body can't handle
But all he can say is: ""Baby it's good to me.""

One day he goes and takes a glimpse in the mirror
But he doesn't recognize his own face
His health is fading and he doesn't know why
Three letters took him to his final resting place
Ya'll don't hear me

Don't go chasin' waterfalls
Please stick to the rivers and the lakes that you're used to
I know that you're gonna have it your way or nothing at all
But I think you're moving too fast

Don't go chasin' waterfalls
Please stick to the rivers and the lakes that you're used to
I know that you're gonna have it your way or nothing at all
But I think you're moving too fast

Come on
I seen a rainbow yesterday
But too many storms have come and gone
Leavin' a trace of not one God given ray
Is it because my life is ten shades of gray
I pray all ten fade away
Seldom praise Him for the sunny days

And like his promise is true
Only my faith can undo
The many chances I blew
To bring my life to anew
Clear blue and unconditional skies
Have dried the tears from my eyes
No more lonely cries

My only bleedin' hope
Is for the folk who can't cope
Wit such an endurin' pain
That it keeps em' in the pourin' rain
Who's to blame
For tootin' caine into your own vein
What a shame
You shoot and aim for someone else's brain

You claim the insane
And name this day and time
For fallin' prey to crime
I say the system got you victim to your own mind
Dreams are hopeless aspirations
In hopes of comin' true
Believe in yourself
The rest is up to me and you

Don't go chasin' waterfalls
Please stick to the rivers and the lakes that you're used to
I know that you're gonna have it your way or nothing at all
But I think you're moving too fast

Don't go chasin' waterfalls
Please stick to the rivers and the lakes that you're used to
I know that you're gonna have it your way or nothing at all
But I think you're moving too fast"
3,TLC,Creep,"Yes: it's me again
And I'm back

(Creep) Oh I: oh I: oh I baby
(Creep) Oh I: oh I: oh I yeah
(Creep) Oh I: oh I: oh I baby
(Creep) Oh I: oh I: oh I yeah

The 22nd of loneliness
And we've been through so many things
I love my man with all honesty
But I know he's cheatin' on me

I look him in his eyes
But all he tells me is lies to keep me near
I'll never leave him down
Though I might mess around
It's only 'cause I need some affection: oh

So I creep: yeah
I just keep it on the down low
Said nobody is supposed to know
So I creep: yeah
'Cause he doesn't know what I do
And no attention goes to show
Oh: so I creep

The 23rd of lonliness
And we don't talk like we use to do
Now it seems pretty strange
But I'm not buggin'
'Cause I still feel the same yeah: yeah

I'll keep giving loving till the day he pushes me away
Never go astray
If he knew the things I did
He couldn't handle it
And I choose to keep him protected: oh

So I creep: yeah
I just keep it on the down low
Said nobody is supposed to know
So I creep: yeah
'Cause he doesn't know what I do
And no attention goes to show
Oh: so I creep

(So I creep: yeah)
(I just keep it on the down low)
(Said nobody is supposed to know)
I think about us baby all the time
But you know that I'm gonna need some attention
Yeah: yeah can you dig it?

(So I creep: yeah)
('Cause he doesn't know what I do)
(And no attention goes to show)
Love you forever baby soul and mind
And you gotta know it
You don't give it I'mma get mine

(So I creep: yeah)
Oh I: oh I: oh I baby
(So I creep: yeah)
Oh I: oh I: oh I yeah
(So I creep: yeah)
Oh I: oh I: oh I baby
Oh I: oh I: oh I yeah
Yeah: yeah: yeah

So I creep yeah I
Just keep it on the down low
Said nobody is supposed to know
So I creep yeah
'Cause he doesn't know what I do
And no attention 
Goes to show oh so I creep

So I creep yeah I
Just keep it on the down low
I creep around because I need attention
So I creep yeah
'Cause he doesn't know what I do
Don't mess around with my affection

So I creep yeah I
Just keep it on the down low
Oh I: oh I: oh I yeah
So I creep yeah
'Cause he doesn't know what I do
Oh I: oh I: oh I yeah

So I creep yeah I
Just keep it on the down low
Said nobody is supposed to know
So I creep yeah
'Cause he doesn't know what I do"
4,Seal,Kiss From A Rose,"There used to be a graying tower alone on the sea:
You became the light on the dark side of me
Love remained a drug that's the high and not the pill

But did you know: that when it snows:
My eyes become large: and the light that you shine can't be seen?

Baby: I compare you to a kiss from a rose on the gray:
Ooh: the more I get of you: the stranger it feels: yeah
And now that your rose is in bloom:
A light hits the gloom on the gray

There is so much a man can tell you: so much he can say
You remain my power: my pleasure: my pain
Baby: to me you're like a growing addiction that I can't deny:
Won't you tell me: is that healthy: baby?

But did you know that when it snows:
My eyes become large: and the light that you shine can't be seen?

Baby: I compare you to a kiss from a rose on the gray:
Ooh: the more I get of you: the stranger it feels: yeah
Now that your rose is in bloom:
A light hits the gloom on the gray

I've been kissed by a rose on the gray
I'm kissed by a rose on the gray
I've been kissed by a rose on the gray
Baby: the stranger it feels: yeah
I've been kissed by a rose on the gray
And if I should fall: would it all go away?
I've been kissed by a rose on the gray
Baby: I've been kissed by a rose on the gray

There is so much a man can tell you: so much he can say
You remain my power: my pleasure: my pain
To me you're like a growing addiction that I can't deny:
Won't you tell me: is that healthy: baby?

But did you know that when it snows:
My eyes become large: and the light that you shine can't be seen?

Baby: I compare you to a kiss from a rose on the gray:
Ooh: the more I get of you: the stranger it feels: yeah
Now that your rose is in bloom:
A light hits the gloom on the gray

Yes: I compare you to a kiss from a rose on the gray:
Ooh: the more I get of you: the stranger it feels: yeah
Now that your rose is in bloom:
A light hits the gloom on the gray

Now that your rose is in bloom:
A light hits the gloom on the gray"
5,Boyz II Men,On Bended Knee,"And I...

Darlin' I: I can't explain
Where did we lose our way
Girl it's drivin' me insane
And I know I just need one more chance
To prove my love to you
If you come back to me
I'll guarantee
That I'll never let you go

Can we go back to the days our love was strong
Can you tell me how a perfect love goes wrong
Can somebody tell me how to get things back
The way they used to be
Oh God give me the reason
I'm down on bended knee
I'll never walk again: until you come back to me
I'm down on bended knee

So many nights I dream of you
Holding my pillow tight
I know that I don't need to be alone
When I open up my eyes
To face reality
Every moment without you
It seems like eternity
I'm begging you: begging you come back to me


Can we go back to the days our love was strong
Can you tell me how a perfect love goes wrong
Can somebody tell me how to get things back
The way they used to be
Oh God give me the reason
I'm down on bended knee
I'll never walk again: until you come back to me
I'm down on bended knee

Baby: I'm sorry.
Please forgive me for all the wrong I've done.
Please come back home girl.
I know you put all your trust
In me: I'm sorry I let you down.
Please forgive me girl.

I'm gonna swallow my pride
Say I'm sorry
Stop pointing fingers: the blame is on me
I want a new life
And I want it with you
If you feel the same
Don't ever let it go
You gotta believe: in the spirit of love
It can heal all things
We won't hurt any more
No I don't believe our love's terminal
I'm down on my knees: begging you please
Come home


Can we go back to the days our love was strong
Can you tell me how a perfect love goes wrong
Can somebody tell me how to get things back
The way they used to be
Oh God give me the reason
I'm down on bended knee

Can we go back to the days our love was strong
Can you tell me how a perfect love goes wrong
Can somebody tell me how to get things back
The way they used to be
Oh God give me the reason
I'm down on bended knee
I'll never walk again: until you come back to me
I'm down on bended knee"
6,Real McCoy,Another Night,"Another night: another dream: but always you
It's like a vision of love that seems to be true
Another night: another dream: but always you
In the night I dream of love so true

Just another night: another vision of love
You feel joy: you feel pain: 'cause nothing will be the same
Just another night: it's all that it takes to understand
The difference between lovers and fakes
So baby: I talk: talk: I talk to you
In the night: in your dreams of love so true
I talk: talk: I talk to you
In the night: in your dreams of love so true

In the night: in my dreams: I'm in love with you
'Cause you talk to me like lovers do
I feel joy: I feel pain: 'cause it's still the same
When the night is gone I'll be alone
Another night: another dream: but always you
It's like a vision of love that seems to be true
Another night: another dream: but always you
In the night I dream of love so true

Just another night: another dream: another vision of love
With me: I'm here to set you free
I am your lover: your brother: hey sister let me cover
Your body with my love: as with my love in just another
Vision of love that seems to be true
Oh we do all the things that only lovers do
Vision of love that seems to be true
Oh we do all the things that only lovers do

In the night: in my dreams: I'm in love with you
'Cause you talk to me like lovers do
I feel joy: I feel pain: 'cause it's still the same
When the night is gone I'll be alone
Another night: another dream: but always you
It's like a vision of love that seems to be true
Another night: another dream: but always you
In the night I dream of love so true

I talk: talk: I talk to you
In the night: in your dreams of love so true
I talk: talk: I talk to you
In the night: in your dreams of love so true

In the night: in my dreams: I'm in love with you
'Cause you talk to me like lovers do
I feel joy: I feel pain: 'cause it's still the same
When the night is gone I'll be alone
Another night: another dream: but always you
It's like a vision of love that seems to be true
Another night: another dream: but always you
In the night I dream of love so true
{Fade}"
7,Mariah Carey,Fantasy,"When you walk by every night
Talking sweet and looking fine
I get kind of hectic inside
Baby: I'm so into you
Darling: if you only knew
All the things that flow through my mind
But it's just a

Sweet: sweet fantasy baby
When I close my eyes you come and you take me
On and on and on
It's so deep in my daydream
But it's just a
Sweet: sweet fantasy baby

Images of rapture
Creep into me slowly
As you go into my head
And my heart beats faster
When you take me over
Time and time and time again
But it's just a

Sweet: sweet fantasy baby
When I close my eyes you come and you take me
On and on and on
It's so deep in my daydream
But it's just a
Sweet: sweet fantasy baby

It's just a sweet...
Sweet: sweet fantasy baby
When I close my eyes you come and you take me
On and on and on
It's so deep in my daydream
But it's just a
Sweet: sweet fantasy baby

I'm in heaven
With my boyfriend
My laughing boyfriend
There's no beginning
And there is no end
Feels like I'm dreaming but
I'm not sleeping

Sweet: sweet fantasy baby
When I close my eyes you come and you take me
On and on and on
It's so deep in my daydream
But it's just a
Sweet: sweet fantasy baby (x2)

Sweet: sweet fantasy baby
Sweet: sweet fantasy baby
Fantasy"
8,Madonna,Take A Bow,"Take a bow: the night is over
This masquerade is getting older
Lights are low: the curtains down
There's no one here
(There's no one here: there's no one in the crowd)

Say your lines but do you feel them
Do you mean what you say when there's no one around (no one around)
Watching you: watching me: one lonely star
(One lonely star you don't know who you are)

I've always been in love with you (always with you)
I guess you've always known it's true (you know it's true)
You took my love for granted: why oh why
The show is over: say goodbye

Say goodbye (bye bye): say goodbye

Make them laugh: it comes so easy
When you get to the part
Where you're breaking my heart (breaking my heart)
Hide behind your smile: all the world loves a clown
(Just make 'em smile the whole world loves a clown)

Wish you well: I cannot stay
You deserve an award for the role that you played (role that you played)
No more masquerade: you're one lonely star
(One lonely star and you don't know who you are)

I've always been in love with you (always with you)
I guess you've always known it's true (you know it's true)
You took my love for granted: why oh why
The show is over: say goodbye

Say goodbye (bye bye): say goodbye

I've always been in love with you (always with you)
I guess you've always known it's true (you know it's true)
You took my love for granted: why oh why
The show is over: say goodbye

Say goodbye (bye bye): say goodbye
Say goodbye (bye bye): say goodbye

All the world is a stage (world is a stage)
And everyone has their part (has their part)
But how was I to know which way the story'd go
How was I to know you'd break
(You'd break: you'd break: you'd break)
You'd break my heart

I've always been in love with you
(I've always been in love with you)
Guess you've always known
You took my love for granted: why oh why
The show is over: say goodbye

Say goodbye (bye bye): say goodbye
Say goodbye"
9,Monica,Don't Take It Personal (Just One Of Dem Days),"It's just one of them days: when I wanna be all alone
It's just one of them days: when I gotta be all alone
It's just one of them days: don't take it personal
I just wanna be all alone: and you think I treat you wrong

I wanna take some time out to think things through
I know it always feels like I'm doing you wrong
But I'm so in love with you
So understand that I'm only in love
You're the only one I need
So have no thought that I want to leave
And baby trust me please

Just one of them days
That a girl goes through
When I'm angry inside
Don't want to take it out on you
Just one of them days
Don't take it personal
I just wanna be all alone
And you think I treat you wrong

Don't take it personal
Baby baby baby baby
Don't take it personal

I sit and I think about every thing we do
And I find myself in mysery and that ain't cool
Hey now: I really want to be with you the whole way through
But the way you make me feel inside keeps me confused
As I swing back from mood to mood it's not because of you
I never want you to be insecure
So won't you understand that I'm only in love
You're the only one I need
I'll be there for you when you need me boy
So baby don't you leave

Chorus 2x's

Hook 2x's w/ variations

Don't take it personal baby
Personal baby: personal baby
Personal baby: personal baby
Personal baby"
10,Montell Jordan,This Is How We Do It,"This is how we do it
(This is how we do it)
La la la la 
La la lo lo lo lo oh
(This is how we do it)
La la la la oh

This is how we do it: it's Friday night
And I feel all right
The party's here on the West side

So I reach for my 40 and I turn it up
Designated driver take the keys to my truck
Hit the Shaw 'cause I'm faded
Honeys in the street say: ""Monty: yo we made it!""

It feels so good in my hood tonight
The summertime skirts and the guys in Kani
All the gang bangers forgot about the drive-by

You gotta get your groove on
Before you go get paid
So tip up your cup and throw your hands up
And let me hear the party say

I'm kinda buzzed and it's all because (this is how we do it)
South Central does it like nobody does (this is how we do it)
To all my neighbors you got much flava (this is how we do it)
Let's flip the track: bring the old school back (this is how we do it)

This is how we do it: all hands are in the air
And wave them from here to there
If you're an O.G. mack or a wanna-be playa

You see the hood's been good to me
Ever since I was a lower-case G
But now I'm a big G: the girls see I got the money
Hundred dollar bills y'all

If you were from where I'm from then you would know
That I gotta get mine in a big black truck
You can get yours in a '64

Whatever it is: the party's underway
So tip up your cup and throw your hands up
And let me hear the party say

I'm kinda buzzed: it's all because (this is how we do it)
Ooh South Central does it like nobody does (this is how we do it)
To all my neighbors you got much flava (this is how we do it)
Let's flip the track: bring the old school back (this is how we do it)

I'm kinda buzzed: it's all because (this is how we do it)
South Central does it like nobody does: nobody does (this is how we do it)
YNV: SCC:  (this is how we do it) all my homies
I'll never come wack on an old school track  (this is how we do it)
Check it out

Once upon a time in '94
Montell made no money and life sure was slow
All they said was 6'8"" he stood
And people thought the music that he made was good

There lived a D.J. and Paul was his name
He came up to Monty: this is what he said
""You and OG are gonna make some cash
Sell a million records and we'll make in a dash.""

Oh I'm buzzing because  (this is how we do it)
South Central does it like nobody does  (this is how we do it)
To all my neighbours you got much flava  (this is how we do it)
I'll never come wack on an old school track  (this is how we do it)

I'm kinda buzzed: it's all because (this is how we do it)
South Central does it like nobody does: nobody does  (this is how we do it)
Oh it's party time  (this is how we do it)
Straight up comin' from the west side  (this is how we do it)

OG's got the flava: yeah  (this is how we do it)
And Monty does it like nobody does it  (this is how we do it)
Come on now: Def Jam: you know what it  (this is how we do it)
This is how we do it (this is how we do it) baby"
