Position,Artist,Song_Title,Lyrics
11,Andy Williams,Can't Get Used To Losing You,"Guess there's no use in hangin' 'round
Guess I'll get dressed and do the town
I'll find some crowded avenue
Though it will be empty without you

Can't get used to losin' you
No matter what I try to do
Gonna live my whole life through
Loving you

Called up some girl I used to know
After I heard her say ""Hello""
Couldn't think of anything to say
Since you're gone it happens every day

Can't get used to losin' you
No matter what I try to do
Gonna live my whole life through
Loving you 

I'll find somebody: wait and see
Who am I kiddin': only me
'Cause no one else could take your place
Guess that I am just a hopeless case

Can't get used to losin' you
No matter what I try to do
Gonna live my whole life through
Loving you

I can't get used to losin' you
No matter what I try to do
Gonna live my whole life through
Loving you"
12,Angels,My Boyfriend's Back,"He went away and you hung around and bothered me every night
When I wouldn't go out with you: you said things that weren't very nice

My boyfriend's back and you're gonna be in trouble
(Hey la: hey la: my boyfriend's back)
When you see him comin': better cut out on the double
(Hey la: hey la: my boyfriend's back)
You've been spreadin' lies that I was untrue
(Hey la: hey la: my boyfriend's back)
So look out now 'cause he's comin' after you
(Hey la: hey la: my boyfriend's back)

Hey he knows what you've been tryin'
And he knows that you've been lyin'

He's been gone for such a long time
(Hey la: hey la: my boyfriend's back)
Now he's back and things will be fine
(Hey la: hey la: my boyfriend's back)
You're gonna be sorry you were ever born
(Hey la: hey la: my boyfriend's back)
'Cause he's kinda big and he's awful strong
(Hey la: hey la: my boyfriend's back)

Hey: he knows I wasn't cheatin'
Now you're gonna get a beatin'

What made you think he'd believe all your lies
Wah-ooh: wah-ooh
You're a big man now but he'll cut you down to size
Wah-ooh: wait and see

My boyfriend's back: he's gonna save my reputation
(Hey la: hey la: my boyfriend's back)
If I were you: I'd take a permanent vacation
(Hey la: hey la: my boyfriend's back)

Hey I can see him comin'
Now you better start a-runnin'

(Wah-ooh: wah-ooh)
Wait and see!

My boyfriend's back he's gonna save my reputation
(Hey la: hey la my boyfriend's back)
Yeah my boyfriend's back: well he's back now
My boyfriend's back
Well I can see he's comin': so you better get a runnin' all right now"
13,Kyu Sakamoto,Sukiyaki,"&#x4E0A;&#x3092;&#x5411;&#x3044;&#x3066;&#x6B69;&#x3053;&#x3046;
&#x6D99;&#x304C;&#x3053;&#x307C;&#x308C;&#x306A;&#x3044;&#x3088;&#x3046;&#x306B;
&#x601D;&#x3044;&#x51FA;&#x3059;&#x6625;&#x306E;&#x65E5;
&#x4E00;&#x4EBA;&#x307C;&#x3063;&#x3061;&#x306E;&#x591C;

&#x4E0A;&#x3092;&#x5411;&#x3044;&#x3066;&#x6B69;&#x3053;&#x3046;
&#x306B;&#x3058;&#x3093;&#x3060;&#x661F;&#x3092;&#x6570;&#x3048;&#x3066;
&#x601D;&#x3044;&#x51FA;&#x3059;&#x590F;&#x306E;&#x65E5;
&#x4E00;&#x4EBA;&#x307C;&#x3063;&#x3061;&#x306E;&#x591C;

&#x5E78;&#x305B;&#x306F;&#x96F2;&#x306E;&#x4E0A;&#x306B;
&#x5E78;&#x305B;&#x306F;&#x7A7A;&#x306E;&#x4E0A;&#x306B;

&#x4E0A;&#x3092;&#x5411;&#x3044;&#x3066;&#x6B69;&#x3053;&#x3046;
&#x6D99;&#x304C;&#x3053;&#x307C;&#x308C;&#x306A;&#x3044;&#x3088;&#x3046;&#x306B;
&#x6CE3;&#x304D;&#x306A;&#x304C;&#x3089;&#x6B69;&#x304F;
&#x4E00;&#x4EBA;&#x307C;&#x3063;&#x3061;&#x306E;&#x591C;


&#x601D;&#x3044;&#x51FA;&#x3059;&#x79CB;&#x306E;&#x65E5;&#x3000;
&#x4E00;&#x4EBA;&#x307C;&#x3063;&#x3061;&#x306E;&#x591C;

&#x60B2;&#x3057;&#x307F;&#x306F;&#x6708;&#x306E;&#x304B;&#x3052;&#x306B;
&#x60B2;&#x3057;&#x307F;&#x306F;&#x661F;&#x306E;&#x304B;&#x3052;&#x306B;

&#x4E0A;&#x3092;&#x5411;&#x3044;&#x3066;&#x6B69;&#x3053;&#x3046;
&#x6D99;&#x304C;&#x3053;&#x307C;&#x308C;&#x306A;&#x3044;&#x3088;&#x3046;&#x306B;
&#x6CE3;&#x304D;&#x306A;&#x304C;&#x3089;&#x6B69;&#x304F;
&#x4E00;&#x4EBA;&#x307D;&#x3063;&#x3061;&#x306E;&#x591C;
&#x4E00;&#x4EBA;&#x307D;&#x3063;&#x3061;&#x306E;&#x591C;"
14,Lesley Gore,She's A Fool,"She dunno that she's a lucky girl:
Got the best thing in the whole wide world.
Got a love that's hard to find:
But the boy I wish was mine.

But: she's a fool:
She's a fool.
She has his love but treats him cruel.

He dunno it but she cheats on him.
With a boy like that: it's such a sin.
I would never be untrue:
I would never make him blue.

But: she's a fool:
She's a fool.
She has his love but treats him cruel.

I know there's gonna come a day:
He will tell the girl: 'Be on your way:'
Maybe then he'll turn to me:
Then how happy I will be that:

She's a fool:
She's a fool.
She has his love but treats him cruel.
She's a fool:
She's a fool.
She has his love but treats him cruel.
She's a fool:
She's a fool"
15,Tymes,So Much In Love,
16,"Peter, Paul and Mary",Puff (The Magic Dragon),
17,"Peter, Paul and Mary",Blowin' In The Wind,"How many roads must a man walk down
Before they call him a man?
How many seas must a white dove sail
Before she sleeps in the sand?
How many times must the cannon balls fly
Before they're forever banned?

The answer: my friend: is blowin' in the wind
The answer is blowin' in the wind!

How many years must a mountain exist
Before it is washed to the sea?
How many years can some people exist
Before they're allowed to be free?
How many times can a man turn his head
And pretend that he just doesn't see?

The answer: my friend: is blowin' in the wind
The answer is blowin' in the wind!

How many times must a man look up
Before he can see the sky?
How many ears must one man have
Before he can hear people cry?
How many deaths will it take 'til he knows
That too many people have died?

The answer: my friend: is blowin' in the wind
The answer is blowin' in the wind
The answer is blowin' in the wind!"
18,Dale and Grace,I'm Leaving It Up To You,
19,Nino Tempo and April Stevens,Deep Purple,"When the deep purple falls over sleepy garden walls
And the stars begin to twinkle in the night
In the mist of my memory: you wander on back to me
Breathing my name with a sigh

In the still of the night once again I hold you tight
Though you've gone: your love lives on when moonlight beams
And as long as my heart will beat: sweet lover: we'll always meet
Here in my deep purple dreams

When the deep purple falls over sleepy garden walls
And the stars begin to twinkle in the night
In the mist of my memory: you wander on back to me
Breathing my name with a sigh

In the still of the night once again I hold you tight
Though you've gone: your love lives on when moonlight beams
And as long as my heart will beat: sweet lover: we'll always meet
Here in my deep purple dreams

And as long as my heart will beat: sweet lover: we'll always meet
Here in my deep purple dreams
And as long as my heart will beat: sweet lover: we'll always meet
Here in my deep purple dreams"
20,Surfaris,Wipe Out,
21,Al Martino,I Love You Because,"I love you because you understand: dear
Every single thing I try to do
You're always there to lend a helping hand: dear
I love you most of all because you're you

No matter what the world may say about me
I know your love will always see me through
I love you for the way you never doubt me
But most of all I love you 'cause you're you

(I love you because the future's brighter)
(The door to happiness shall open wide)

No matter what the world may say about me
I know your love will always see me through
I love you for a hundred thousand reasons
But most of all: I love you 'cause you're you"
22,Rebels,Wild Weekend,
23,Bobby Darin,You're The Reason I'm Living,"You're the reason I'm living
You're the breath that I take
You're the stars in my heaven
You're the sun when I wake
You're the reason I'm living
Oh you carry me through
All of life's little burdens
I'd be lost without you

A long long time ago
When I was down
Wo-o-o you picked me up
And showed me true love
Still could be found

You're the reason I do things
You're the things that I do
You're the reason I'm livin'
I'd be lost without you

Come and tell me again
You're the reason I'm living
Oh you carry me through
All of life's little burdens
I'd be lost without you"
24,Four Seasons,Walk Like A Man,"Oo woo-oo-oo oo woo-oo-oo 
(Wop wop wop wop)
Oo woo-oo-oo oo woo-oo-oo 
Walk like a man

Oh how you tried
To cut me down to size
By telling dirty lies to my friends
But my own father
Said give her up: don't bother
The world isn't coming to an end

He said walk like a man
Talk like a man
Walk like a man my son
No woman's worth
Crawling on the earth
So walk like a man my son

Oo woo-oo-oo oo woo-oo-oo 
(Wop wop wop wop)
Oo woo-oo-oo oo woo-oo-oo 

Fine eyed baby
I don't mean maybe
We're gonna get along somehow
Soon you'll be crying
On 'count of all you're lying
Oh yeah: just look who's laughing now

I'm gonna walk like a man
Fast as I can
Walk like a man from you
I'll tell the world
Forget about it girl
And walk like a man from you

Oo woo-oo-oo oo woo-oo-oo
(Wop wop wop wop)
Oo woo-oo-oo oo woo-oo-oo
(Wop wop wop wop)
Oo woo-oo-oo oo woo-oo-oo 
(Wop wop wop wop)
Oo woo-oo-oo oo woo-oo-oo"
25,Inez Foxx,Mockingbird,
26,Little Peggy March,I Will Follow Him,"I love him: I love him: I love him
And where he goes I'll follow
I'll follow: I'll follow

I will follow him
Follow him wherever he may go
There isn't an ocean too deep
Or mountain so high it can keep
Keep me away

I must follow him
Ever since he touched my hand I knew
That near him I always must be
And nothing can keep him from me
He is my destiny

I love him: I love him: I love him
And where he goes I'll follow
I'll follow: I'll follow

He'll always be my true love
My true love: my true love
From now until forever
Forever: forever

I will follow him
Follow him wherever he may go
There isn't an ocean too deep
Or mountain so high it can keep
Keep me away 
Away from my arms

I love him: I love him: I love him
And where he goes I'll follow
I'll follow: I'll follow

He'll always be my true love
My true love: my true love
From now until forever
Forever: forever

I will follow him
Follow him wherever he may go
There isn't an ocean too deep
Or mountain so high it can keep
Keep me away 
Away from my arms"
27,Chantays,Pipeline,
28,Jan and Dean,Surf City,"Two girls for every boy

I bought a '34 wagon and we call it a woodie
(Surf City: here we come)
You know it's not very cherry: it's an oldie but a goodie
(Surf City: here we come)
Well: it ain't got a back seat or a rear window
But it still gets me where I wanna go

Yeah: we're going to Surf City 'cause it's two to one
You know we're going to Surf City: gonna have some fun
You know we're going to Surf City 'cause it's two to one
You know we're going to Surf City: gonna have some fun: now

Two girls for every boy

They say they never roll the streets up 'cause there's always somethin' goin'
(Surf City: here we come)
You know they're either out surfin' or they've got a party growin'
(Surf City: here we come)
Yeah: there's two swingin' honeys for every guy
And all you gotta do is just wink your eye

And I'm going to Surf City: gonna have some fun: now
Going to Surf City 'cause it's two to one
You know we're going to Surf City: gonna have some fun
You know we're going to Surf City 'cause it's two to one: now

Two girls for every boy

And if my woodie breaks down on me somewhere on the surf route
(Surf City: here we come)
I'll strap my board to my back and hitch a ride in my wetsuit
(Surf City: here we come)
And when I get to Surf City: I'll be shootin' the curl
And checkin' out the parties for a surfer girl

And I'm going to Surf City 'cause it's two to one
You know: we're going to Surf City: gonna have some fun
You know: we're going to Surf City 'cause it's two to one
You know: we're going to Surf City: gonna have some fun: now

Two girls for every
Two girls for every boy"
29,Lesley Gore,It's My Party,"It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too: if it happened to you

Nobody knows where my Johnny has gone
But Judy left the same time
Why was he holding her hand
When he's supposed to be mine?

It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too: if it happened to you

Play all my records: keep dancing all night
But leave me alone for awhile
Till Johnny's dancing with me
I've got no reason to smile

It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too: if it happened to you

Judy and Johnny just walked through the door
Like a queen with her king
Oh: what a birthday surprise
Judy's wearing his ring

It's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too: if it happened to you

Oh: it's my party and I'll cry if I want to
Cry if I want to
Cry if I want to
You would cry too: if it happened to you

Oh: it's my party and I'll cry if I want to"
30,Eydie Gorme,Blame It On The Bossa Nova,"I was at a dance when he caught my eye
Standin' all alone lookin' sad and shy
We began to dance: swaying' to and fro
And soon I knew I'd never let him go

Blame it on the bossa nova with its magic spell
Blame it on the bossa nova that he did so well
Oh: it all began with just one little dance
But then it ended up a big romance
Blame it on the bossa nova
The dance of love

(Now was it the moon?)
No: no: the bossa nova
(Or the stars above?)
No: no: the bossa nova
(Now was it the tune?)
Yeah: yeah: the bossa nova
(The dance of love)

Now I'm glad to say I'm his bride to be
And we're gonna raise a family
And when our kids ask how it came about
I'm gonna say to them without a doubt

Blame it on the bossa nova with its magic spell
Blame it on the bossa nova that he did so well
Oh: it all began with just one little dance
But then it ended up a big romance
Blame it on the bossa nova
The dance of love

(Now was it the moon?)
No: no: the bossa nova
(Or the stars above?)
No: no: the bossa nova
(Now was it the tune?)
Yeah: yeah: the bossa nova
(The dance of love)

(Now was it the moon?)
No: no: the bossa nova
(Or the stars above ?)
No: no: the bossa nova"
31,Dovells,You Can't Sit Down,
32,Martha and The Vandellas,Heat Wave,
33,Randy and The Rainbows,Denise,"Ooh: Denise: scooby doo
I'm in love with you: Denise: scooby doo
I'm in love with you: Denise: scooby doo
I'm in love with you

Denise: Denise
Oh: with your eyes so blue
Denise: Denise
I've got a crush on you
Denise: Denise
I'm so in love with you

Oh: when we walk
It seems like paradise
Oh: when we talk
It always feels so nice
Denise: Denise
I'm so in love with you

You're my queen
And I'm in heaven every time I look at you
When you smile
It's like a dream
And I'm so lucky 'cause I found a girl like you

Ooh: Denise: scooby loo
I'm in love with you: Denise: scooby doo
I'm in love with you: Denise: scooby doo
I'm in love with you

Denise: Denise
Oh: won't you hold me tight?
Denise: Denise
Oh: can we kiss good night?
Denise: Denise
I'm so in love with you

Ooh: Denise: scooby loo
I'm in love with you: Denise: scooby doo
I'm in love with you: Denise: scooby doo
I'm in love with you"
34,Rooftop Singers,Walk Right In,"Walk right in: sit right down
Daddy: let your mind roll on
Walk right in: sit right down
Daddy: let your mind roll on

Everybody's talkin' 'bout a new way of walkin'
Do you want to lose your mind?
Walk right in: sit right down
Daddy: let your mind roll on

Walk right in: sit right down
Baby: let your hair hang down
Walk right in: sit right down
Baby: let your hair hang down

Everybody's talkin' 'bout a new way of walkin'
Do you want to lose your mind?
Walk right in: sit right down
Baby: let your hair hang down

Walk right in: sit right down
Daddy: let your mind roll on
Walk right in: sit right down
Daddy: let your mind roll on

Everybody's talkin' 'bout a new way of walkin'
Do you want to lose your mind?
Walk right in: sit right down
Daddy: let your mind roll on
Daddy: let your mind roll on"
35,Jimmy Soul,If You Wanna Be Happy,Unfortunately: we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?
36,Beach Boys,Surfer Girl,"Little surfer: little one
Made my heart come all undone
Do you love me: do you: surfer girl?
Surfer girl: my little surfer girl

I have watched you on the shore
Standing by the ocean's roar
Do you love me: do you: surfer girl?
Surfer girl: surfer girl

We could ride the surf together
While our love would grow
In my Woody I would take you everywhere I go

So I say from me to you
I will make your dreams come true
Do you love me: do you: surfer girl?
Surfer girl: my little surfer girl

Girl: surfer girl: my little surfer girl
Girl: surfer girl: my little surfer girl
Girl: surfer girl: my little surfer girl"
37,Trini Lopez,If I Had A Hammer,"Ooh: ooh ooh
Ooh: ooh ooh
Ooh

If I had a hammer
I'd hammer in the morning 
I'd hammer in the evening
All over this land

I'd hammer out danger
I'd hammer out a warning
I'd hammer about the love between my brothers and my sisters
All: all over this land

Ooh: ooh ooh
Ooh: ooh ooh
Ooh: ooh

If I had a bell
I'd ring it in the morning 
I'd ring it in the evening
All over this land

I'd ring out danger
I'd ring out a warning
I'd ring about the love between my brothers and my sisters 
All: all over this land

Ooh: ooh ooh
Ooh: ooh ooh
Ooh: ooh 

If I had a song
I'd sing it in the morning
I'd sing it in the evening
All over this land

I'd sing out danger
I'd sing out a warning: yeah
I'd sing out about the love between my brothers and my sisters
All: all over this land

Ooh: ooh ooh
Ooh: ooh 

Now: I've got a hammer
And I've got a bell
And I've got a song to sing
All over this land

It's the hammer of justice
It's the bell of freedom: yeah
It's the song about the love between my brothers and my sisters
All: all over this land

Yeah: yeah: yeah: yeah: yeah
Yeah: yeah: yeah: yeah

All over this land
Ooh: all over this land
Hee: all over this land: yeah: yeah: yeah: yeah
Yeah: yeah: yeah: yeah

All over this land
Hee: all over this land"
38,Tommy Roe,Everybody,"Everybody!
Everybody!
Everybody's had a broken heart now!
Everybody!
Everybody!
Everybody's had the blues
Everybody!
Everybody!
Everybody's blue when they're lonesome!
Everybody!
Everybody!
Everybody's had the blues
One time or other everbody listen to me:
You loose somebody you love:
But that's no reason for you to break down and cry!
I said a hey everybody!
Everybody!
Everybody's had a lonely moment!
Everybody!
Everybody!
Everbody's had the blues
One time or other everbody listen to me:
You loose somebody you love:
But that's no reason for you to break down and cry!
I said a hey everybody!
Everbody!
Everybody's had a lonely moment!
Everybody!
Everybody!
Everbody's had the blues
I said a hey everybody!
Everybody!
Everybody's blue when they're lonesome!
Everybody!
Everybody!
Everybody's had the blues"
39,Essex,Easier Said Than Done,
40,Dion,Ruby Baby,"Ah now said I love a girl and-a Ruby is her name
Hear me talkin' now
This girl don't love me but I love her just the same
What'd I say?
Whoa: oh: oh: oh: oh: Ruby: Ruby: I'm-a want ya
Like a ghost I'm-a gonna haunt ya
Ruby: Ruby: Ruby will you be mine: sometime

Ah each time I see you: baby my heart cries
Ah: it does: Ruby
I tell ya I'm gonna steal you away from all those guys
Are they wise?
Whoa: oh: oh: oh: oh: from the happy day I met ya
Now I made a bet that I was goin' to get ya
Ruby: Ruby: Ruby will you be mine?
Hear me talkin': in time: now: hey

Hey-hey
Hey-hey
Hey-hey
Hey-hey
Hey-hey
Hey-hey
Hey-hey
Hey-hey: come to me: now
Hey-hey
Hey-hey: gonna get ya
Hey-hey: well: I tell ya

Now I love this girl I said-a Ruby is her name
Believe me: now
When this girl looks at me she just sets my soul aflame
Don't ya know?
Whoa: oh: oh: oh: oh: I got some hugs and-a kisses: too
Yeah and now I'm gonna give-a them all to you
Now: listen: now Ruby: Ruby: when will you be mine?
Gonna get you sometime: Ruby

Hey-hey
Hey-hey
Hey-hey
Hey-hey
Hey-hey
Hey-hey
Come to me baby: no: hey-hey hey
Hey-hey
Hey-hey hey
Hey-hey

Ah listen: listen: listen: now
Ruby: Ruby: Ruby: Ruby will you be mine?

Ah: in time: everybody now"
41,Los Indios Tabajaras,Maria Elena,
42,Ruby and The Romantics,Our Day Will Come,"Our day will come
And we'll have everything
We'll share the joy
Falling in love can bring

No one can tell me
That I'm too young to know
I love you so (love you so)
And you love me

Our day will come
If we just wait a while
No tears for us
Think love and wear a smile

Our dreams have magic because
We'll always stay
In love this way
Our day will come
(Our day will come: our day will come)

Our dreams have magic because
W'll always stay
In love this way
Our day will come
Our day will come"
43,Skeeter Davis,I Can't Stay Mad At You,"I can't stay mad at you.
You can make me cry
You can break my heart
But I'll never say we're through 
And even when I shout 
I can't stay mad at you
I can't stay mad at you

I got mad at you last night
When you were holding
Another girl tight
But when I thought about all your charms 
I bounced right back into your arms...

I think you'll know for sure
I won't be the one to fall in love with someone new
I'll never say goodbye
I can't stay mad at you"
44,Barbara Lewis,"Hello, Stranger","Hello stranger
It seems so good to see you back again
How long has it been? 
(It seems like a mighty long time)
It seems like a mighty long time

Oh: I'm I'm I'm I'm I'm so glad
You stopped by to say hello to me 
Remember that's the way it used to be
Ooh: it seems like a mighty long time
Shoo-Bop Shoo-Bop: my baby
Ooh: it seems like a mighty long time

Oh: ah yes I'm so glad
You're here again
Oh: If you're not gonna stay
Please don't tease me
Like you did before
Because I still love you so
Although
It seems like a mighty long time
Shoo-Bop Shoo-Bop: my baby
Oh (It seems like a mighty long time)

Oh
Oh my my my my
I'm so happy 
That you're here at last
Oh"
45,Ronettes,Be My Baby,"The night we met I knew I
Needed you so
And if I had the chance I'd
Never let you go

So: won't you say you love me?
I'll make you so proud of me
We'll make 'em turn their heads
Every place we go

So: won't you: please

(Be my: be my baby) Be my little baby
(My one and only baby) Say you'll be my darling
(Be my: be my baby) Be my baby now
(My one and only baby) Whoa-ho-ho-ho

I'll make you happy: baby
Just wait and see
For every kiss you give me
I'll give you three

Oh: since the day I saw you
I have been waiting for you
You know I will adore you
Till eternity

So: won't you: please

(Be my: be my baby) Be my little baby
(My one and only baby) Say you'll be my darling
(Be my: be my baby) Be my baby now
(My one and only baby) Whoa-ho-ho-ho-oh

So: come on and please

(Be my: be my baby) Be my little baby
(My one and only baby) Say you'll be my darling
(Be my: be my baby) Be my baby now
(My one and only baby) Whoa-ho-ho-ho

(Be my: be my baby) Be my little baby
(My one and only baby) Oh
(Be my: be my baby) Oh
(My one and only baby) Whoa-ho-ho-ho-oh

(Be my: be my baby) Oh
(My one and only baby) Oh
(Be my: be my baby) Be my baby now"
46,Roy Orbison,Mean Woman Blues,"Hmm: well I got a woman mean as she can be
Well I got a woman mean as she can be
Some-a-times I think she's almost mean as me

She gotta ruby lips: she got shapely hips: yeah
Boy she makes ole Roy-oy flip
I got a woman mean as she can be
Some-a-times I think she's almost mean as me

Well I ain't braggin': it's understood
Everything I do: well I sure do it good
Yeah I got a woman mean as she can be
Some-a-times I think she's almost mean as me
Well!

She gotta ruby lips: she got shapely hips: yeah
Boy she makes ole Roy-oy flip
I got a woman mean as she can be
Some-a-times I think she's almost mean as me: easy now

Ah-huh-huh-huh ...

Now let's go one time

Well I got a woman (sha la la la)
Yeah I got a woman (sha la la la)
Yeah I got a woman (sha la la la)
Well I got a woman (sha la la la)
Some-a-times I think she's almost mean as me"
47,Orlons,South Street,
48,Henry Mancini,Days Of Wine And Roses,"The days of wine and roses laugh and run away like a child at play
Through a meadow land toward a closing door
A door marked ""nevermore"" that wasn't there before

The lonely night discloses just a passing breeze filled with memories
Of the golden smile that introduced me to
The days of wine and roses and you


(The lonely night discloses) just a passing breeze filled with memories
Of the golden smile that introduced me to
The days of wine and roses and you-ooh-ooh"
49,Major Lance,The Monkey Time,"There's a place right across town whenever you're ready
Where people gather round whenever they're ready
And then the music begins to play
You feel a groove coming on its way

Are you ready (are you ready)
Well: you get yours 'cause I got mine
For the Monkey Time (Monkey Time)
(Monkey Time)

Now the dance that the people do: I don't know how it started
All I know 's that when the beat brings a feel: it's so hard to get parted
And then the music begins to play
Well: automatically you're on your way

Are you ready (are you ready)
Well: you get yours 'cause I got mine
For the Monkey Time
Ah: do the Monkey: yeah (do the Monkey Time)
Ah: do the Monkey: yeah (do the Monkey Time)

Ah: twist them hips (twist them hips)
Let your backbone slip (let your backbone slip)
Now move your feet (move your feet)
Get on the beat (get on the beat)

Are you ready (are you ready)
Well: you get yours 'cause I got mine
For the Monkey Time (Monkey Time)
(Monkey Time)

Now the dance that the people do: I don't know how it started
All I know's that when the beat brings a feel: it's so hard to get parted
And then the music begins to play
Well: automatically you're on your way

Are you ready (are you ready)
Well: you get yours: 'cause I got mine
For the Monkey Time (Monkey Time)
Ah: do the Monkey: yeah (Monkey Time)
Give me a big strong line (Monkey Time)
You're looking real fine"
50,Four Seasons,Candy Girl,"I've been a-searching all this big wide world
Now finally I found my
Candy girl: candy girl

I found me a girl (Candy girl)
She sets my heart a-whirl (Candy girl)
With huggin' (huggin') and kissin' (kissin') and lovin'
She's mine (mine) mine (mine)
Whoa-oh-oh-oh
Candy girl

We get along so well (Candy girl)
I know just why I fell (Candy girl)
She's thrillin' (thrillin') oh: chillin' (chillin') yeah: she's so divine
She's mine (mine) mine (mine)
Whoa-oh-oh-oh
Candy girl

When we're out together
Everyone knows the way we feel
We both seem to glow with a glow of love
And it's plain to see
Our love is real

I'm happy as can be (Candy girl)
She vows eternally (Candy girl)
To hold me (hold me) and love me (love me) until the end of time
She's mine (mine) mine (mine)
Whoa-oh-oh-oh
Candy girl
Candy girl
Candy girl
Candy girl
Candy girl
Candy girl
Candy girl"
