Position,Artist,Song_Title,Lyrics
1,Jimmy Gilmer and The Fireballs,Sugar Shack,Unfortunately: we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?
2,Beach Boys,Surfin' U.S.A.,"If everybody had an ocean
Across the USA
Then everybody'd be surfin'
Like Californ-i-a
You'd see 'em wearing their baggies
Huarache sandals too
A bushy: bushy blond hairdo
Surfin' USA

You'll catch 'em surfin' at Del Mar (Inside: outside: USA)
Ventura County line (Inside: outside: USA)
Santa Cruz and Trestle (Inside: outside: USA)
Australia's Narrabeen (Inside: outside: USA)
All over Manhattan (Inside: outside: USA)
And down Doheny Way (Inside: outside: USA)
Everybody's gone surfin'
Surfin' USA

We'll all be planning out a route
We're gonna take real soon
We're waxin' down our surfboards
We can't wait for June
We'll all be gone for the summer
We're on safari to stay
Tell the teacher we're surfin'
Surfin' USA

At Haggerty's and Swami's (Inside: outside: USA)
Pacific Palisades (Inside: outside: USA)
San Onofre and Sunset (Inside: outside: USA)
Redondo Beach: L.A. (Inside: outside: USA)
All over La Jolla (Inside: outside: USA)
At Waiamea Bay (Inside: outside: USA)
Everybody's gone surfin'
Surfin' USA

Everybody's gone surfin'
Surfin' USA
Everybody's gone surfin'
Surfin' USA
Everybody's gone surfin'
Surfin' USA
Yeah: everybody's gone surfin'
Surfin' USA
Yeah: everybody's gone surfin'
Surfin' USA"
3,Skeeter Davis,The End Of The World,"Why does the sun go on shining?
Why does the sea rush to shore?
Don't they know it's the end of the world?
'Cause you don't love me anymore

Why do the birds go on singing?
Why do the stars glow above?
Don't they know it's the end of the world?
It ended when I lost your love

I wake up in the morning and I wonder
Why everything's the same as it was
I can't understand: no: I can't understand
How life goes on the way it does

Why does my heart go on beating?
Why do these eyes of mine cry?
Don't they know it's the end of the world?
It ended when you said goodbye

Why does my heart go on beating?
Why do these eyes of mine cry?
Don't they know it's the end of the world?
It ended when you said goodbye"
4,Cascades,Rhythm Of The Rain,"Listen to the rhythm of the falling rain
Telling me just what a fool I've been
I wish that it would go and let me cry in vain
And let me be alone again

The only girl I care about has gone away
Looking for a brand new start
But little does she know that when she left that day
Along with her: she took my heart

Rain: please tell me now: does that seem fair
For her to steal my heart away when she don't care?
I can't love another when my heart's somewhere far away

The only girl I care about has gone away
Looking for a brand new start
But little does she know that when she left that day
Along with her: she took my heart

Rain: won't you tell her that I love her so?
Please ask the sun to set her heart aglow
Rain in her heart and let the love we knew start to grow

Listen to the rhythm of the falling rain
Telling me just what a fool I've been
I wish that it would go and let me cry in vain
And let me be alone again

Oh: listen to the falling rain
Pitter pater: pitter patter
Oh: oh: oh: listen to: liste to the falling rain
Pitter patter: pitter patter
Oh: oh: oh: listen to: liste to the falling rain"
5,Chiffons,He's So Fine,
6,Bobby Vinton,Blue Velvet,"Blue velvet: oh: oh: oh

She wore blue velvet
Bluer than velvet was the night
Softer than satin was the light
From the stars

She wore blue velvet
Bluer than velvet were her eyes
Warmer than May: her tender sighs
Love was ours

Ours: a love I held tightly
Feeling the rapture grow
Like a flame burning brightly
But when she left gone was the glow of

Blue velvet
But in my heart there'll always be
Precious and warm a memory through the years
And I still can see blue velvet through my tears

She wore blue velvet
But in my heart there'll always be 
Precious and warm a memory through the years
And I still can see blue velvet through my tears

Blue velvet: ooh"
7,Paul and Paula,Hey Paula,
8,Little Stevie Wonder,Fingertips II,
9,Village Stompers,Washington Square,
10,Impressions,It's All Right,"Say it's all right (it's all right)
Say it's all right (it's all right)
It's all right: have a good time
'Cause it's all right: whoa: it's all right

We're gonna move it slow
When lights are low
When you move it slow: it sounds like more
And it's all right: whoa: it's all right

Now listen to the beat
Kinda pat your feet
You got soul and everybody knows
That it's all right: whoa: it's all right

When you wake up early in the morning
Feelin' sad like so many of us do
Hum a little soul: make life your goal
And surely somethings got to come to you

And say it's all right
Say it's all right
It's all right: have a good time
'Cause it's all right: whoa: it's all right

Now everybody clap your hands
Give yourself a chance
You got soul and everybody knows
That it's all right: whoa: it's all right

Someday I'll find me a woman
Who will love and treat me real nice
Then my woes got to go
And my love: she will know
From morning: noon and night

And she's got to ...
Say it's all right
Say it's all right
It's all right: have a good time
'Cause it's all right: whoa: it's all right

Now everybody clap your hands
Now give yourselves a chance
You got soul"
