Position,Artist,Song_Title,Lyrics
1,Johnny Horton,The Battle Of New Orleans,"In 1814 we took a little trip
Along with Colonel Jackson down the mighty Mississip'
We took a little bacon and we took a little beans
And we caught the bloody British in a town in New Orleans

We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

We looked down the river and we seed the British come
And there must have been a hundred of 'em beatin' on the drum
They stepped so high and they made their bugles ring
We stood beside our cotton bales and didn't say a thing

We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

Old Hickory said we could take 'em by surprise
If we didn't fire our muskets till we looked 'em in the eye
We held our fire till we seed their faces well
Then we opened up our squirrel guns and really gave 'em
Well we

Fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

Yeah they ran through the briars and they ran through the brambles
And they ran through the bushes where a rabbit couldn't go
They ran so fast that the hounds couldn't catch 'em
On down the Mississippi to the Gulf of Mexico

We fired our cannon till the barrel melted down
So we grabbed an alligator and we fought another round
We filled his head with cannonballs and powered his behind
And when we touched the powder off the gator lost his mind

We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they began to runnin'
On down the Mississippi to the Gulf of Mexico

Yeah they ran through the briars and they ran through the brambles
And they ran through the bushes where a rabbit couldn't go
They ran so fast that the hounds couldn't catch 'em
On down the Mississippi to the Gulf of Mexico

Hup: 2: 3: 4
Sound off: 3: 4
Hup: 2: 3: 4
Sound off: 3: 4
Hup: 2: 3: 4
Sound off: 3: 4"
2,Bobby Darin,Mack The Knife,"Oh: the shark: babe: has such teeth: dear
And he shows them pearly white
Just a jackknife has old Macheath: babe
And he keeps it out of sight

You know when that shark bites with his teeth: babe
Scarlet billows start to spread
Fancy gloves: though: wears old Macheath: babe
So there's never: never a trace of red

Now on the sidewalk: ooh: sunny morning: uh-huh
Lies a body just oozin' life
Eek: and someone's sneakin' 'round the corner
Could that someone be Mack the Knife?

There's a tugboat down by the river: don't ya know
Where a cement bag's just a-droopin' on down
Oh: that cement is just: it's there for the weight: dear
Five'll get ya ten: old Macky's back in town

Now d'ya hear about Louie Miller? He disappeared: babe
After drawin' out all his hard-earned cash
And now Macheath spends just like a sailor
Could it be our boy's done something rash?

Now Jenny Diver: ho: ho: yeah: Sukey Tawdry
Ooh: Miss Lotte Lenya and old Lucy Brown
Oh: the line forms on the right: babe
Now that Macky's back in town

I said Jenny Diver: whoa: Sukey Tawdry
Look out to Miss Lotte Lenya and old Lucy Brown
Yes: that line forms on the right: babe
Now that Macky's back in town

Look out ol' Macky's back"
3,Lloyd Price,Personality,"Over and over
I tried to prove my love to you
Over and over
What more can I do

Over and over
My friend says I'm a fool
But over and over
I'll be a fool for you

'Cause you got personality
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got
A great big heart

So over and over
Oh: I'll be a fool for you
Now over and over
What more can I do

'Cause you got personality
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got
A great big heart

So over and over
Whoa: I'll be a fool for you
Now over and over
What more can I do

Over and over
I said that I love you
Over and over: honey
Now it's the truth

Over and over
They still say I'm a fool
But over and over
I'll be a fool for you

'Cause you got personality
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got
A great big heart

So over and over
Whoa: I'll be a fool for you
Now over and over
What more can I do"
4,Frankie Avalon,Venus,"Hey: Venus
Oh: Venus

Venus: if you will
Please send a little girl for me to thrill
A girl who wants my kisses and my arms
A girl with all the charms of you

Venus: make her fair
A lovely girl with sunlight in her hair
And take the brightest stars up in the skies
And place them in her eyes for me

Venus: goddess of love that you are
Surely the things I ask
Can't be too great a task

Venus: if you do
I promise that I always will be true
I'll give her all the love I have to give
As long as we both shall live

Venus: goddess of love that you are
Surely the things I ask
Can't be too great a task

Venus: if you do
I promise that I always will be true
I'll give her all the love I have to give
As long as we both shall live

Hey: Venus
Oh: Venus
Make my wish come true"
5,Paul Anka,Lonely Boy,"I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do

I've got everything
You could think of
But all I want 
Is someone to love

Someone: yes someone to love
Someone to kiss
Someone to hold
At a moment like this

I'd like to hear
Somebody say
I'll give you my love
Each night and day

I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do

I've got everything
You could think of
But all I want 
Is someone to love

Somebody: somebody: somebody: please
Send her to me
I'll make her happy
Just wait and see

I've prayed so hard
To the heavens above
That I might find
Someone to love

I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do

I've got everything"
6,Bobby Darin,Dream Lover,"Every night I hope and pray
A dream lover will come my way
A girl to hold in my arms
And know the magic of her charms

'Cause I want a girl
To call my own
I wanna dream lover
So I don't have to dream alone

Dream lover where are you
With a love oh so true
And a hand that I can hold
To feel you near as I grow old

'Cause I want a girl
To call my own
I wanna dream lover
So I don't have to dream alone

Someday: I don't know how
I hope she'll hear my plea
Some way I don't know how
She'll bring her love to me

Dream lover until then
I'll go to sleep and dream again
That's the only thing to do
Till all my lover's dreams come true

'Cause I want a girl
To call my own
I wanna dream lover
So I don't have to dream alone

Dream lover until then
I'll go to sleep and dream again
That's the only thing to do
Till all my lover's dreams come true

'Cause I want a girl
To call my own
I wanna dream lover
So I don't have to dream alone

Please don't make me dream alone
I beg you don't make me dream alone
No: I don't want to dream alone
No"
7,Browns,The Three Bells,
8,Fleetwoods,Come Softly To Me,"Doo dooby doo
Dum dum: dum doo dum: dooby doo
Dum dum: dum doo dum: dooby doo
Dum dum: dum doo dum: dooby doo
Dum dum: dum doo dum: dooby doo

(Come softly: darling) Dum dum: dum doo dum: dooby doo
(Come softly: darling) Dum dum: dum doo dum: dooby doo
(Come softly: darling) Dum dum: dum doo dum: dooby doo
(Come softly: darling) Dum dum: dum doo dum: dooby doo

(Come softly: darling) Dum dum: dum doo dum: dooby doo
(Come to me: stay) Dum dum: dum doo dum: dooby doo
(You're my obsession) Dum dum: dum doo dum: dooby doo
(Forever and a day) Dum dum: dum doo dum: dooby doo

I want: want you to know: dooby do
I love: I love you so: doby do
Please hold: hold me so tight: dooby do
All through: all through the night: dooby do

(I speak softly: darling) Dum dum: dum doo dum: dooby doo
(Hear what I say) Dum dum: dum doo dum: dooby doo
(I love you always) Dum dum: dum doo dum: dooby doo
(Always: always) Dum dum: dum doo dum: dooby doo

I've waited: waited so long: dooby do
For your kisses and your love: dooby do
Please come: come to me: dooby do
From up: from up above: dooby do

(Come softly: darling) I want: want you to know: dooby do
(Come softly: darling) I love: I love you so: dooby do
(Come softly) I need: Ineed you so much: dooby do
(Come softly) Want to feel your warm: warm touch: dooby do

Dum dum: dum doo dum: dooby doo
Dum dum: dum doo dum: dooby doo
Dum dum: dum doo dum: dooby doo
Dum dum: dum doo dum: dooby doo

Dum dum: dum doo dum: dooby doo
Dum dum: dum doo dum: dooby doo
Dum dum: dum doo dum: dooby doo"
9,Wilbert Harrison,Kansas City,"I'm going to Kansas City
Kansas City here I come
I'm going to Kansas City
Kansas City here I come
They got some crazy little women there
And I'm gonna get me one

Gonna be standing on the corner
Twelfth Street and Vine
Gonna be standing on the corner
Twelfth Street and Vine
With my Kansas City baby
And a bottle of Kansas City wine

Well I might take a train
I might take a plane
But if I have to walk
I'm gonna do the same
Going to Kansas City
Kansas City here I come
They got some crazy little women there
And I'm gonna get me one

Aww But you know yeah must I
Aww yeah

Now if I stay with that women
I know I'm gonna die
Gotta find a brand new baby
And that's the reason why
I'm going to Kansas City
Kansas City here I come
They got some crazy little women there
And I'm gonna get me one
They got some crazy little women there
And I'm gonna get me one"
10,Fleetwoods,Mr. Blue,"Our guardian star lost all his glow
The day that I lost you
He lost all his glitter the day you said no
And his silver turned to blue

Like him: I am doubtful
That your love is true
But if you decide to call on me
Ask for Mr. Blue

I'm Mr. Blue
When you say you love me
Then prove it by going out on the sly
Proving your love isn't true
Call me Mr. Blue

I'm Mr. Blue
When you say you're sorry
Then turn around: heading for the lights of town
Hurtin' me through and through
Call me Mr. Blue

I stay at home at night
Right by the phone at night
But you won't call
And I won't hurt my pride
Call me Mr.

I won't tell you
While you paint the town
A bright red to turn it upside down
I'm painting it too

But I'm painting it blue
Call me Mr. Blue
Call me Mr. Blue
Call me Mr. Blue"
