Position,Artist,Song_Title,Lyrics
1,Beatles,Hey Jude,"Hey Jude: don't make it bad
Take a sad song and make it better
Remember to let her into your heart
Then you can start to make it better

Hey Jude: don't be afraid
You were made to go out and get her
The minute you let her under your skin
Then you begin to make it better

And any time you feel the pain
Hey Jude: refrain
Don't carry the world upon your shoulder

For well you know that it's a fool
Who plays it cool
By making his world a little colder

Na na na na na na na na na

Hey Jude: don't let me down
You have found her: now go and get her (so let it out and let it in)
Remember (Hey Jude) to let her into your heart
Then you can start to make it better

So let it out and let it in
Hey Jude: begin
You're waiting for someone to perform with

And don't you know that it's just you
Hey Jude: you'll do
The movement you need is on your shoulder

Na na na na na na na na na yeah

Hey Jude: don't make it bad
Take a sad song and make it better
Remember to let her under your skin (Whoa!)
Then you begin (Fucking hell) to make it better
Better: better: better: better: better!

Na: nana: nananana
Nananana: hey Jude
Na: nana: nananana
Nananana: hey Jude

Na: nana: nananana
Nananana: hey Jude
Na: nana: nananana
Nananana: hey Jude

(Jude: Jude: Judy: Judy: Judy: whoa: whoa!)
Na: nana: nananana
Nananana: hey Jude (Jude: Jude: Jude: Jude: Jude)
Na: nana: nananana (Yeah: yeah: yeah: yeah)
Nananana: hey Jude (I know you can make it Jude: you got it for you)

Na: nana: nananana (Take a sad song and make it better)
Nananana: hey Jude (Jude: hey Jude: whoa!)
Na: nana: nananana (Jude)
Nananana: hey Jude (Hey: yeaheaheah)

Na: nana: nananana (Heyeyeyey)
Nananana: hey Jude (Jude: Jude: Jude: Jude: Judy: yeaheaheah)
Na: nana: nananana
Nananana: hey Jude

Na: nana: nananana
Nananana: hey Jude (Nananana....)
Na: nana: nananana
Nananana: hey Jude

Na: nana: nananana
Nananana: hey Jude
Na: nana: nananana (Make it Jude)
Nananana: hey Jude (Yeah: yeah: yeah: yeah: yeah!)

Na: nana: nananana
Nananana: hey Jude (Mamamamama...)
Na: nana: nananana
Nananana: hey Jude

Na: nana: nananana
Nananana: hey Jude
Na: nana: nananana
Nananana: hey Jude"
2,Paul Mauriat,Love Is Blue, Instrumental
3,Bobby Goldsboro,Honey,"See the tree: how big it's grown
But friend: it hasn't been too long it wasn't big
I laughed at her and she got mad
The first day that she planted it: was just a twig

Then the first snow came and she ran out
To brush the snow away so it wouldn't die
Came runnin' in all excited slipped and almost hurt herself
And I laughed till I cried

She was always young at heart
Kinda dumb and kinda smart and I loved her so
And I surprised her with a puppy
Kept me up all Christmas Eve two years ago

And it would sure embarrass her
When I came in from workin' late 'cause I would know
That she'd been sittin there an' cryin'
Over some sad and silly late: late show

And Honey: I miss you
And I'm bein' good
And I'd love to be with you
If only I could

She wrecked the car and she was sad
And so afraid that I'd be mad: but what the heck
Though I pretended hard to be
Guess you could say she saw through me and hugged my neck

I came home unexpectedly
And caught her cryin' needlessly in the middle of the day
And it was in the early spring
When flowers bloom and robins sing: she went away

And Honey: I miss you
And I'm bein' good
And I'd love to be with you
If only I could

One day while I was not at home
While she was there and all alone the angels came
Now all I have is memories of Honey
And I wake up nights and call her name

Now my life's an empty stage
Where Honey lived: and Honey played and love grew up
And a small cloud passes over head
And cries down on the flower bed that Honey loved

And see the tree: how big it's grown
But friend: it hasn't been too long: it wasn't big
And I laughed at her: she got mad
The first day that she planted it: was just a twig"
4,Otis Redding,(Sittin' On) The Dock Of The Bay,"Sittin' in the morning sun
I'll be sittin' when the evening comes
Watching the ships roll in
Then I watch 'em roll away again: yeah

I'm sittin' on the dock of the bay
Watching the tide roll away: ooh
I'm just sittin' on the dock of the bay
Wastin' time

I left my home in Georgia
Headed for the Frisco Bay
'Cause I've had nothing to live for
Look like nothing's gonna come my way

So: I'm just gon' sit on the dock of the bay
Watching the tide roll away: ooh
I'm sittin' on the dock of the bay
Wastin' time

Looks like nothing's gonna change
Everything still remains the same
I can't do what ten people tell me to do
So I guess I'll remain the same: listen

Sittin' here resting my bones
And this loneliness won't leave me alone: listen
Two thousand miles I roam
Just to make this dock my home: now

I'm just gon' sit at the dock of a bay
Watching the tide roll away: ooh
Sittin' on the dock of the bay
Wastin' time"
5,Rascals,People Got To Be Free,"All the world over: so easy to see
People everywhere just wanna be free
Listen: please listen: that's the way it should be
There's peace in the valley: people got to be free

You should see what a lovely: lovely world this'd be
Everyone learned to live together: ah hah
Seems to me such an itty bitty thing should be
Why can't you and me learn to love one another?

All the world over: so easy to see
People everywhere just wanna be free (wanna be free)
I can't understand it: so simple to me
People everywhere just got to be free

If there's a man who is down and needs a helpin' hand
All it takes is you to understand and to pull him through: ah hah
Seems to me we got to solve it individually: ah ah
And I'll do unto you what you do to me
Said: no

Shout it from the mountain on out to the sea
No two ways about it: people have to be free (they gotta be free)
Ask me my opinion: my opinion will be
Natural situation for a man to be free
Get right on board now: huh: huh

Oh: what a feelin's just come over me
Love can move a mountain: make a blind man see
Everybody sing it now come on let's go see
Peace in the valley now: we all can be free

See that train over there?
Now that's the train of freedom
It's about to 'rrive any minute: now
You know it's been'a long: long overdue
Look out 'cause it's a'comin' right on through
Ha: ha: yeah"
6,Cream,Sunshine Of Your Love,"It's getting near dawn
When lights close their tired eyes
I'll soon be with you: my love
Give you my dawn surprise
I'll be with you: darling: soon
I'll be with you when the stars start falling

I've been waiting so long
To be where I'm going
In the sunshine of your love

I'm with you: my love
The light's shinin' through on you
Yes: I'm with you: my love
It's the morning and just we two
I'll stay with you: darling: now
I'll stay with you 'til my seas are all dried up

I've been waiting so long
To be where I'm going
In the sunshine of your love

I'm with you: my love
The light's shinin' through on you
Yes: I'm with you: my love
It's the morning and just we two
I'll stay with you: darling: now
I'll stay with you 'til my seas are all dried up

I've been waiting so long
I've been waiting so long
I've been waiting so long
To be where I'm going
In the sunshine of your love"
7,Herb Alpert,This Guy's In Love With You,"You see this guy
This guy's in love with you
Yes: I'm in love
Who looks at you the way I do
When you smile I can tell
We know each other very well
How can I show you
I'm glad I got to know you: 'cause

I've heard some talk
They say you think I'm fine
Yeah: I'm in love
And what I'd do to make you mine
Tell me now: is it so?
Don't let me be the last to know
My hands are shaking
Don't let my heart keep breaking: 'cause

I need your love
I want your love
Say you're in love
In love with this guy
If not: I'll just die

Tell me now: is it so?
Don't let me be the last to know
My hands are shaking
Don't let my heart keep breaking: 'cause

I need your love
I want your love
Say you're in love
In love with this guy
If not: I'll just die"
8,Hugo Montenegro,"The Good, The Bad And The Ugly",
9,Simon and Garfunkel,Mrs. Robinson,"And here's to you: Mrs. Robinson
Jesus loves you more than you will know
Whoa: whoa: whoa
God bless you: please: Mrs. Robinson
Heaven holds a place for those who pray
Hey hey hey: hey hey hey

We'd like to know a little bit about you for our files
We'd like to help you learn to help yourself
Look around you: all you see are sympathetic eyes
Stroll around the grounds until you feel at home

And here's to you: Mrs. Robinson
Jesus loves you more than you will know
Whoa: whoa: whoa
God bless you: please: Mrs. Robinson
Heaven holds a place for those who pray
Hey hey hey: hey hey hey

Hide it in a hiding place where no one ever goes
Put it in your pantry with your cupcakes
It's a little secret: just the Robinsons' affair
Most of all: you've got to hide it from the kids

Coo coo ca choo: Mrs. Robinson
Jesus loves you more than you will know
Whoa: whoa: whoa
God bless you: please: Mrs. Robinson
Heaven holds a place for those who pray
Hey hey hey: hey hey hey

Sitting on a sofa on a Sunday afternoon
Going to the candidates' debate
Laugh about it: shout about it when you've got to choose
Every way you look at it: you lose

Where have you gone: Joe DiMaggio?
A nation turns its lonely eyes to you
Woo: woo: woo
What's that you say: Mrs. Robinson?
Joltin' Joe has left and gone away
Hey hey hey: hey hey hey"
10,Archie Bell and The Drells,Tighten Up,"Hi everybody. I'm Archie Drell and the Drells from Houston: Texas. We don't
Only sing but we dance just as good as we walk. In Houston we just started a
New dance called the Tighten Up. This is the music we tighten up to.

First tighten up on the drums. Come on now drummer. I want you to tighten
It up for me now. oh yeah
Tighten up on that bass now. Tighten it up. ha ha Yeah
Now let that guitar fall in. Oh yeah
Tighten up on that organ now.

Ya: do the tighten up. Yeah now.
I said if you can do it now:
It sure would be tough.

Now look here. Come on now. Make it mellow.
Let's tighten up now. Do the tighten up.
Everybody can do it now. So let's do it.
We're gonna tighten up. Let's do the tighten up.
You can do it now. So baby get to it.

Let's do your left now. Let's do your right.
You can do it. But don'tcha just do it light.
Come on and tighten up. Tighten it up now.

Come on now drum. Tighten it up.
Tighten up that bass. Oh yeah
Now look here. I want that guitar to fall in on that.
Tighten it up now. Oh yeah
Now tighten it up organ.
There everybody: tighten it up.

Now look here. We gonna make it mellow for ya now.
We gonna make it mellow now.
Tighten up. You can tighten up."
