Position,Artist,Song_Title,Lyrics
11,Jeannie C. Riley,Harper Valley P.T.A.,"I want to tell you all the story bout the Harper Valley widowed wife
Who had a teenage daughter who attended Harper Valley Junior High
Well: her daughter came home one afternoon and didn't even stop to play
And she said: ""Mom: I got a note here from the Harper Valley P.T.A.""

Well: the note said: ""Mrs. Johnson: you're wearin' your dresses way too high
It's reported you've been drinkin' and a runnin' 'round with men and goin' wild
And we don't believe you oughta be a-bringin' up your little girl this way""
And it was signed by the Secretary: Harper Valley P.T.A.

Well it happened that the P.T.A. was gonna meet that very afternoon
And they were sure surprised when Mrs. Johnson wore her miniskirt into the room
And as she walked up to the blackboard I can still recall the words she had to say
She said: ""I'd like to address this meeting of the Harper Valley P.T.A.

Well: there's Bobby Taylor sittin' there and seven times he's asked me for a date
And Mrs. Taylor sure seems to use a lotta ice whenever he's away
And Mr. Baker: can you tell us why your secretary had to leave this town?
And shouldn't Widow Jones be told to keep her window shades all pulled completely down?

Well: Mr. Harper couldn't be here 'cause he stayed too long at Kelly's Bar again
And if you smell Shirley Thompson's breath you'll find she's had a little nip of gin
And then you have the nerve to tell me you think that as a mother: I'm not fit
Well: this is just a little Peyton Place and you're all Harper Valley hypocrites!""

No: I wouldn't put you on because it really did: it happened just this way
The day my mama socked it to the Harper Valley P.T.A.
The day my mama socked it to the Harper Valley P.T.A."
12,O.C. Smith,Little Green Apples,"And I wake up in the mornin'
With my hair down in my eyes and she says: ""Hi""
And I stumble to the breakfast table
While the kids are goin' off to school... goodbye
And she reaches out and takes my hand
And squeezes it and says: ""How ya feelin': hon?""
And I look across at smilin' lips
That warm my heart and see my mornin' sun

And if that's not lovin' me
Then all I've got to say
God didn't make little green apples
And it don't rain in Indianapolis in the summertime
And there's no such thing as Doctor Seuss
Or Disneyland: and Mother Goose: no nursery rhyme
God didn't make little green apples
And it don't rain in Indianapolis in the summertime
And when myself is feelin' low
I think about her face aglow and ease my mind

Sometimes I call her up at home knowin' she's busy
And ask her if she could get away and meet me
And maybe we could grab a bite to eat
And she drops what she's doin' and she hurries down to meet me
And I'm always late
But she sits waitin' patiently and smiles when she first sees me
'Cause she's made that way

And if that ain't lovin' me
Then all I've got to say
God didn't make little green apples
And it don't snow in Minneapolis when the winter comes
And there's no such thing as make-believe
Puppy dogs: autumn leaves and BB guns

God didn't make little green apples
And it don't rain in Indianapolis"
13,Tommy James and The Shondells,"Mony, Mony",
14,Doors,"Hello, I Love You",Unfortunately: we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?
15,Gary Puckett and The Union Gap,Young Girl,"Young girl
Get out of my mind
My love for you is way out of line
Better run: girl
You're much too young: girl

With all the charms of a woman
You've kept the secret of your youth
You led me to believe you're old enough
To give me Love
And now it hurts to know the truth

Whoa: oh: oh: young girl
Get out of my mind
My love for you is way out of line
Better run: girl
You're much too young: girl

Beneath your perfume and make-up
You're just a baby in disguise
And though you know that it's wrong to be
Alone with me
That come on look is in your eyes

Whoa: oh: oh: young girl
Get out of my mind
My love for you is way out of line
Better run: girl
You're much too young: girl

So hurry home to your mama
I'm sure she wonders where you are
Get out of here before I have the time
To change my mind
'Cause I'm afraid we'll go too far

Whoa: oh: oh: young girl
Get out of my mind
My love for you is way out of line
Better run: girl
You're much too young: girl

Young girl
Get out of my mind
My love for you is way out of line
Better run: girl
You're much too young: girl

Young girl
Get out of my mind
My love for you"
16,Box Tops,Cry Like A Baby,"When I think about the good love you gave me:
I cry like a baby.
Living without you is driving me crazy:
I cry like a baby.
Well: I know now that you're not a play thing:
Not a toy: or a puppet on a string.

As I look back on a love so sweet now:
I cry like a baby.
Every road is a lonely street:
I cry like a baby.
I know now that you're not a play thing:
Not a toy: or a puppet on a string.

Today we passed on a street:
And you just walked on by.
My heart just fell to my feet:
And once again I began to cry.

When I think about the good love you gave me:
I cry like a baby.
Living without you is driving me crazy:
I cry like a baby.

I know now that you're not a play thing:
I cry like a baby.
As I look back on a love so sweet now:
I cry like a baby.
Every road is a lonely street:
I cry like a baby.
My heart just fell to my feet: you know 
I cried like a baby.
You left the water running now: 
I cried like a baby."
17,Fifth Dimension,Stoned Soul Picnic,"Can you surry: can you picnic: whoa?
Can you surry: can you picnic?
Come on: come on and surry down to a stoned soul picnic
Surry down to a stoned soul picnic
There'll be lots of time and wine
Red yellow honey: sassafras and moonshine
Red yellow honey: sassafras and moonshine
Stoned soul: stoned soul: whoa

Come on: come on and surry down to a stoned soul picnic
Surry down to a stoned soul picnic (Can you surry: can you picnic?)
Rain and sun come in again
And from the sky come the Lord and the lightning
And from the sky come the Lord and the lightning
Stoned soul: stoned soul
Surry on: soul

Surry: surry: surry: surry

There'll be trains of blossoms (There'll be trains of blossoms)
There'll be trains of music (There'll be music)
There'll be trains of trust: trains of golden dust
Come along and surry on: sweet trains of thought: surry on down
Can you surry: can you surry: can you surry?

Surry down to a stoned soul picnic
Surry down to a stoned soul picnic (Can you surry: can you picnic?)
There'll be lots of time and wine
Red yellow honey: sassafras and moonshine (Red yellow honey)
Red yellow honey: sassafras and moonshine: moonshine
Stoned soul: yeah
Surry on: soul

Surry: surry: surry: surry
Surry: surry: surry: surry
Surry: surry: surry: surry"
18,Hugh Masekela,Grazing In The Grass, Instrumental
19,Grass Roots,Midnight Confessions,"The sound of your footsteps
Telling me that you're near
Your soft gentle motion: baby
Brings out the need in me that no one can hear: except

In my midnight confessions
When I tell all the world that I love you
In my midnight confessions
When I say all the things that I want to
I love you

But a little gold ring you wear on your hand makes me understand
There's another before me: you'll never be mine
I'm wasting my time

Staggering through the daytime
Your image on my mind
Passing so close beside you: baby
Sometimes the feelings are so hard to hide: but

In my midnight confessions
When I tell all the world that I love you
In my midnight confessions
When I say all the things that I want to
I love you

That's a little gold ring you wear on your hand that makes me understand
There's another before me: you'll never be mine
I'm wasting my time

In my midnight confessions
When I'm telling the world that I love you
In my midnight confessions
When I say all the things that I want to
Na-na-na-na: na-na-na-na
Na-na-na-na: na-na-na-na
Na-na-na-na: na-na-na-na
Na-na-na-na: na-na-na-na"
20,Sly and The Family Stone,Dance To The Music,"Hey: get up and dance to the music
Get on up and dance to the music

Dance to the music
Dance to the music
Dance to the music
Dance to the music

Hey Greg (what)
All we need is a drummer
For people who only need a beat: yeah

I'm gonna add a little guitar
And make it easy to move your feet

I'm gonna add some bottom
So that the dancers just won't hide

You might like to hear my organ
I said Ride Sally Ride now

Cynthia (yeah) Jerry (what)
If I could hear the horns blowin'
Cynthia on the throne: yeah

Listen to me
Cynthia and Jerry got a message that's sayin'
All the squares: go home
Yeah yeah

Listen to the voices

Dance to the music (ho)
Dance to the music (yeah: yeah: yeah)
Dance to the music
Dance to the music (yeah)"
21,Cliff Nobles and Co.,The Horse,
22,Temptations,I Wish It Would Rain,"Sunshine: blue skies: please go away
My girl has found another and gone away
With her went my future: my life is filled with gloom
So day after day I stay locked up in my room

I know to you it might sound strange
But I wish it would rain
(Oh how I wish that it would rain)
Oh yeah: yeah: yeah: yeah (ooh-ooh-ooh-ooh)

Cause so badly I wanna go outside (such a lovely day)
But everyone knows that a man ain't supposed to cry
Listen: I gotta cry
Cause crying: ooh: eases the pain: oh yeah

People: this hurt I feel inside
Words could never explain
I just wish it would rain (oh how I wish that it would rain)
Oh let it rain: rain: rain: rain (oh how I wish that it would rain)
Ooh: baby
Let it rain (rain: rain)
Oh yeah: let it rain

Day in: day out: my tear-stained face
Pressed against the window pane
My eyes search the skies desperately for rain

Cause raindrops will hide my teardrops
And no one will ever know
That I'm crying (crying) crying (crying)
When I go outside

To the world outside
My tears I refuse to explain
Oh I wish it would rain
(Oh how I wish that it would rain)
Ooh-hoo: let it rain (let it rain)
Let it rain

I need rain to disguise the tears in my eyes
Oh: let it rain
Oh: yeah: yeah: listen
I'm a man and I got my pride
Till it rains I'm gonna stay inside
Let it rain (let it rain: let it rain)"
23,Delfonics,La-La Means I Love You,"Many guys have come to you
With a line that wasn't true
And you passed them by (passed them by)
Now you're in the center ring
And their lines don't mean a thing
Why don't you let me try (let me try)
Now I don't wear a diamond ring
I don't even have a song to sing
All I know is

La la la la la la la la la means
I love you

Oh: baby please now

Oh... baby

La la la la la la la la la means
I love you

If I ever saw a girl
That I needed in this world
You are the one for me (one for me)
Let me hold you in my arms
Girl: and thrill you with my charms
I'm sure you will see (you will see)
The things I am sayin' are true
And the way I explain them to you
Listen to me

The things I am sayin' are true
And the way I explain them to you: yes to you
Listen to me

La la la la la la la la la means
I love you

Oh: you'll have to understand
Come on and take my hand"
24,Vogues,"Turn Around, Look At Me","There is someone walking behind you:
Turn around: look at me
There is someone watching your footsteps:
Turn around: look at me
There is someone who really needs you
Here is my heart in my hand
Turn around (turn around): look at me (look at me)
Undertstand: understand
That there's someone
Who'll stand beside you
Turn around: look at me
And there's someone
To love and guide you
Turn around: look at me
O I've waited: but I'll wait forever
For you to come to me
Look at someone (Look at someone)
Who really loves you (yeah loves you)
Turn around: look at me
Turn around: look at me"
25,John Fred and His Playboy Band,Judy In Disguise (With Glasses),"Judy in disguise: well that's a-what you are
A-lemonade pies: with a brand new car
Cantaloupe eyes come to me tonight
Your Judy in disguise: with glasses

Keep a-wearing your bracelets: and your new rah-rah
A-cross your heart: yeah: with your living bra
A-chimney sweep sparrow with guys
Your Judy in disguise: with glasses

Come to me tonight
Come to me tonight
I've taken everything in sight
Unzipper the strings of my kite

Judy in disguise: hey that's what you are
A-lemonade pies: hey got your brand new car
Cantaloupe eyes come to me tonight
Your Judy in disguise: with glasses

Come to me tonight
Come to me tonight
I've taken everything in sight
Unzipper the strings of my kite

Judy in disguise: well what you aiming for
A-circus of a-horrors: yeh yeh: well that's what you are
You make me a life of ashes
I guess I'll just take your glasses"
26,Classics IV,Spooky,"In the cool of the evenin'
When everything is gettin' kind of groovy
I call you up and ask you if you'd like to
Go with me and see a movie

First you say no
You've got some plans for the night
And then you stop: and say: all right
Love is kinda crazy with a spooky little girl like you

You always keep me guessin'
I never seem to know what you are thinkin'
And if a fella looks at you
It's for sure your little eye will be a-winkin'

I get confused
'Cause I don't know where I stand
And then you smile and hold my hand
Love is kinda crazy with a spooky little girl like you
Spooky: heh: yeah

If you decide someday to stop
This little game that you are playin'
I'm gonna tell you all the things
My heart's been a-dyin' to be sayin'

Just like a ghost
You've been a-hauntin' my dreams
So I'll propose on Halloween
Love is kinda crazy with a spooky little girl like you

Spooky: spooky
Oh: whoa: all right: I said spooky
Oh: yeah: yeah: I said spooky
Yeah: yeah
Oh spooky: spooky
I said spooky"
27,Diana Ross and The Supremes,Love Child,"(Tenement slum
Ooh-ooh-ooh-ooh-ooh-ooh-ooh: ah)

You think that I don't feel love
But what I feel for you is real love
In those eyes: I see reflected
A hurt: scorned: rejected

Love child: never meant to be
Love child: born in poverty
Love child: never meant to be
Love child: take a look at me

Started my life in an old: cold: rundown tenement slum (Tenement slum)
My father left: he never even married Mom
I shared the guilt my mama knew
So afraid that others knew I had no name

Ah: this love we're contemplating
Is worth the pain of waiting
We'll only end up hating
The child we may be creating

Love child: never meant to be (Wait: wait: won't you wait now: hold on)
Love child (Scorned by) society
Love child: always second best (Wait: wait: won't you wait now: hold on)
Love child: different from the rest

(Hold on: hold on: just a little bit longer) Mmm: baby
(Hold on: hold on: just a little bit longer) Mmm: baby

I started school in a worn: torn dress that somebody threw out (Somebody threw out)
I knew the way it felt to always live in doubt
To be without the simple things
So afraid my friends would see the guilt in me

Ah: don't think that I don't need you
Don't think I don't wanna please you
But no child of mine will be bearing
The name of shame I've been wearing

Love child: love child: never quite as good (Wait: wait: won't you wait now: hold on)
Afraid: ashamed: misunderstood (Just a little bit longer: love child)
But I'll always love you (Wait: wait: won't you wait now: hold on)
I'll always love you (Just a little bit longer: love child)

I'll always love you (Wait: wait: won't you wait now: hold on)
Always love you (Just a little bit longer: love child)
I'll always love you (Wait: wait: won't you wait now: hold on)
Always love you (Just a little bit longer: love child)

You: you: you (Wait: wait: won't you wait now: hold on)
I'll always love you (Just a little bit longer: love child)"
28,Merrilee Rush,Angel Of The Morning,"There'll be no strings to bind your hands
Not if my love can't bind your heart
And there's no need to take a stand
For it was I who chose to start
I see no reason to take me home
I'm old enough to face the dawn

Just call me angel of the morning: angel
Just touch my cheek before you leave me: baby
Just call me angel of the morning: angel
Then slowly turn away from me

Maybe the sun's light will be dim
And it won't matter anyhow
If morning's echo says we've sinned
Well: it was what I wanted now
And if we're victims of the night
I won't be blinded by the light

Just call me angel of the morning: angel
Just touch my cheek before you leave me: baby
Just call me angel of the morning: angel
Then slowly turn away
I won't beg you to stay
With me (me)
Through the tears
Of the day
Of the years
Baby: baby

Just call me angel of the morning: angel
Just touch my cheek before you leave me: baby
Just call me angel of the morning: angel
Just touch my cheek before you leave me: baby"
29,Georgie Fame,The Ballad Of Bonnie And Clyde,"Bonnie and Clyde were pretty looking people
But I can tell you people
They were the devil's children
Bonnie and Clyde began their evil doing
One lazy afternoon down Savannah way
They robbed a store
And hightailed out of that town
Got clean away in a stolen car
And waited till the heat died down

Bonnie and Clyde advanced their reputation
And made the graduation
Into the banking business
""Reach for the sky"" sweet-talking Clyde would holler
As Bonnie loaded dollars in the dewlap bag
Now one brave man: he tried to take 'em alone
They left him lying in a pool of blood
And laughed about it all the way home.

Bonnie and Clyde got to be public enemy number one
Running and hiding from every American lawman's gun
They used to laugh about dying
But deep inside 'em they knew
That pretty soon they'd be lying
Beneath the ground together
Pushing up daisies to welcome the sun
And the morning dew

Acting upon reliable information
A federal deputation laid a deadly ambush
When Bonnie and Clyde came walking in the sunshine
A half a dozen carbines opened up on them

Bonnie and Clyde
They lived a lot together
And finally together
They died"
30,Mary Hopkin,Those Were The Days,"Once upon a time there was a tavern
Where we used to raise a glass or two
Remember how we laughed away the hours
Think of all the great things we would do

Those were the days: my friend
We thought they'd never end
We'd sing and dance forever and a day
We'd live the life we choose
We'd fight and never lose
For we were young and sure to have our way

Then the busy years went rushing by us
We lost our starry notions on the way
If by chance I'd see you in the tavern
We'd smile at one another and we'd say

Those were the days my friend
We thought they'd never end
We'd sing and dance forever and a day
We'd live the life we choose
We'd fight and never lose
Those were the days
Oh: yes: those were the days

Just tonight I stood before the tavern
Nothing seemed the way it used to be
In the glass I saw a strange reflection
Was that lonely woman really me

Those were the days my friend
We thought they'd never end
We'd sing and dance forever and a day
We'd live the life we choose
We'd fight and never lose
Those were the days
Oh: yes: those were the days

Through the door there came familiar laughter
I saw your face and heard you call my name
Oh my friend we're older but no wiser
For in our hearts the dreams are still the same

Those were the days my friend
We thought they'd never end
We'd sing and dance forever and a day
We'd live the life we choose
We'd fight and never lose
Those were the days: oh yes: those were the days"
31,Steppenwolf,Born To Be Wild,"Get your motor running
Head out on the highway
Looking for adventure
And whatever comes our way

Yeah: darling go make it happen
Take the world in a love embrace
Fire all of your guns at once and
Explode into space

I like smoke and lightning
Heavy metal thunder
Racing with the wind
And the feeling that I'm under

Yeah darling go make it happen
Take the world in a love embrace
Fire all of your guns at once
And explode into space

Like a true nature's child
We were born: born to be wild
We can climb so high
I never want to die

Born to be wild
Born to be wild

Get your motor running
Head out on the highway
Looking for adventure
And whatever comes our way

Yeah: darling go make it happen
Take the world in a love embrace
Fire all of your guns at once and
Explode into space

Like a true nature's child
We were born: born to be wild
We can climb so high
I never want to die

Born to be wild
Born to be wild"
32,Intruders,Cowboys To Girls,
33,1910 Fruitgum Company,Simon Says,"I'd like to play a game
That is so much fun
And it's not so very hard to do
The name of the game is Simple Simon says
And I would like for you to play it too

Put your hands in the air
(Simple Simon says)
Shake them all about
(Simple Simon says)
Do it when Simon says
(Simple Simon says)
And you will never be out

Simple Simon says
Put your hands on your head
Let your back bone stretch
Simon says

Simple simon says
Put your hands on your head
Let your back bone stiff
Simon says

Put your hands on your head
(Simple Simon says)
Bring them down by your side
(Simple Simon says)
Shake them to your left
(Simple Simon Says)
Now shake them to your right

Put your hands on your head
(Simple Simon says)
Bring them down by your side
(Simple Simon says)
Shake them to your left
(Simple Simon says)
Now shake them to your right

Now that you have learnt
To play this game with me
You can see it's not so hard to do
Lets try it once again
This time more carefully
And I hope the winner will be you

Clap your hands in the air
(Simple Simon says)
Do it double time
(Simple Simon says)
Slow it down like before
(Simple Simon says)
Ah: you're looking fine
(Simple Simon says)
Now clap them high in the air
(Simple Simon says)
Do it double time
(Simple Simon says)
Slow it down like before
(Simple Simon says)
Ah: you're looking fine"
34,Gary Puckett and The Union Gap,Lady Willpower,"Lady Willpower
It's now or never
Give your love to me and
I'll shower your heart with tenderness
Endlessly

I know you want to see me
But you're afraid
Of what I might have on my mind
One thing you can be sure of
I'll take good care of your love
If you will let me give you mine

Lady Willpower
It's now or never
Give your love to me and
I'll shower your heart with tenderness
Endlessly

Did no one ever tell you
The facts of life?
Well: there's so much you have to learn
And I would gladly teach you
If I could only reach you
And get your loving in return

Lady Willpower
It's now or never
Give your love to me and
I'll shower your heart with tenderness
Endlessly

Lady Willpower
It's now or never
Give your love to me and
I'll shower your heart with tenderness
Endlessly

Lady"
35,Rascals,A Beautiful Morning,"It's a beautiful morning: ah
I think I'll go outside for a while
And just smile
Just take in some clean fresh air: boy
No sense in staying inside
If the weather's fine and you've got the time 
It's your chance to wake up and plan another brand new day
Either way

It's a beautiful morning: ah
Each bird keeps singing his own song
So long
I've got to be on my way now
No fun just hanging around
I got to cover ground
You couldn't keep me down
It just ain't no good if the sun shines
When you're still inside 
Shouldn't hide
Still inside
Shouldn't hide
Still inside: shouldn't hide.
Oh: oh: oh

Ooh-ah-ah
Ooh-ah-ah

There will be children with robins and flowers 
Sunshine caresses each new waking hour

Seems to me that people keep seeing more and more each day
Gotta say: lead the way
It's okay: brand new day
Gotta say: it's okay
Brand new day: gotta say: lead the way
Oh: oh: oh

Ooh-ah-ah
Oh: oh: oh
Ooh-ah-ah
Whoa: oh: oh: oh: oh
Ooh-ah-ah
Oh
Ooh-ah-ah
Oh: oh: oh"
36,Sergio Mendes and Brasil '66,The Look Of Love,"The look of love is in your eyes
A look your smile can't disguise
The look of love is saying so much more than just words could ever say
And what my heart has heard: well it takes my breath away

I can hardly wait to hold you
Feel my arms around you 
How long I have waited
Waited just to love you
Now that I have found you
Don't ever go You've got the

Look of love: it's on your face
A look that time can't erase
Be mine tonight: let this be just the start of so many nights like this
Let's take a lover's vow and then seal it with a kiss

I can hardly wait to hold you
Feel my arms around you 
How long I have waited
Waited just to love you
Now that I have found you
Don't ever go 
Don't ever go

I love you so
I love you so
I love you so"
37,Johnny Nash,Hold Me Tight,"I don't want to hear it:
No more fussin' and fightin' baby:
Hold me tight.
Let's let bygones be bygones:
Let's think about tomorrow girl:
Our future's bright.
Well: I know I was wrong:
But: I was just a fool:
Too blind to see
You were the only girl for me.
Ah but now I see the light:
And everything's gonna be all right:
Baby: Hold me tight.
Well: I know I was wrong:
But: I was just a fool:
Too blind to see
You were the only girl for me.
Ah but now I see the light:
And everything's gonna be all right:
Baby: Hold me tight."
