Position,Artist,Song_Title,Lyrics
1,Gordon Jenkins and The Weavers,Goodnight Irene,"Irene goodnight
Irene goodnight
Goodnight Irene
Goodnight Irene
I'll see you in my dreams

Last Saturday night I got married
Me and my wife settled down
Now me and my wife are parted
I'm gonna take another stroll in town

Irene goodnight
Irene goodnight
Goodnight Irene
Goodnight Irene
I'll see you in my dreams

Sometimes I live in the country
Sometimes I live in town
Sometimes I take a great notion
To jump in the river and drown

Irene goodnight
Irene goodnight
Goodnight Irene
Goodnight Irene
I'll see you in my dreams

Stop ramblin'
Stop your gamblin'
Stop stayin' out late at night
Go home to your wife and family
Stay there by your fireside bright

Irene goodnight
Irene goodnight
Goodnight Irene
Goodnight Irene
I'll see you in my dreams

Goodnight Irene
Goodnight Irene
I'll see you in my dreams"
2,Nat King Cole,Mona Lisa,"Mona Lisa: Mona Lisa: men have named you
You're so like the lady with the mystic smile
Is it only 'cause you're lonely they have blamed you?
For that Mona Lisa strangeness in your smile?

Do you smile to tempt a lover: Mona Lisa?
Or is this your way to hide a broken heart?
Many dreams have been brought to your doorstep
They just lie there and they die there

Are you warm: are you real: Mona Lisa?
Or just a cold and lonely lovely work of art?

Do you smile to tempt a lover: Mona Lisa?
Or is this your way to hide a broken heart?
Many dreams have been brought to your doorstep
They just lie there and they die there

Are you warm: are you real: Mona Lisa?
Or just a cold and lonely lovely work of art?

Mona Lisa: Mona Lisa"
3,Anton Karas,Third Man Theme,
4,Gary and Bing Crosby,Sam's Song,
5,Gary and Bing Crosby,Simple Melody,
6,Teresa Brewer,"Music, Music, Music","Put another nickel in
In the nickelodeon
All I want is having you
And music: music: music

I'd do anything for you
Anything you'd want me to
All I want is kissing you
And music: music: music

Closer
My dear: come closer
The nicest part of any melody
Is when you're danciong close to me

So: put another nickel in
In the nickelodeon
All I want is loving you
And music: music: music

Put another nickel in
In the nickelodeon
All I want is having you
And music: music: music

I'd do anything for you
Anything you'd want me to
All I want is kissing you
And music: music: music

Closer
My dear: come closer
The nicest part of any melody
Is when you're danciong close to me

So: put another nickel in
In the nickelodeon
All I want is loving you
And music: music: music

C'mon everybody
Put some nickels in
And keep that old nickelodeon playing
Music: music: music

Lum: dee: dum: dee: da dee dum
Dum: dee: dum: dee: da dee dum
Dum: dee: dum: dee: da dee dum
And music: music: music

Lum: dee: dum: dee: da dee dum
Dum: dee: dum: dee: da dee dum
Dum: dee: dum: dee: da dee dum
And music: music: music"
7,Guy Lombardo,Third Man Theme,
8,Red Foley,Chattanoogie Shoe Shine Boy,
9,Sammy Kaye,Harbor Lights,"I saw the harbor lights
They only told me we were parting
The same old harbor lights
That once brought you to me

I watched the harbor lights
How could I help if tears were starting?
Goodbye to tender nights
Beside the silvery sea

I long to hold you near
And kiss you just once more
But I was on the ship
And you were on the shore

Now I know lonely nights
For all the while my heart is whispering
Some other harbor lights
Will steal your love from me

I long to hold you near
And kiss you just once more
But I was on the ship
And you were on the shore

Now I know lonely nights
For all the while my heart is whispering
Some other harbor lights
Will steal your love from me"
10,Sammy Kaye and Don Cornell,It Isn't Fair,"It isn't fair

It isn't fair for you to taunt me.
How can you make me care this way?
It isn't fair for you to want me
If it's just for a day.

It isn't fair for you to thrill me.
Why do you do the things you do?
It isn't fair for you to fill me
With those dreams that can't come true: dear.

Why is it that you came into my life
And made it complete?
You gave me just a touch of high life;
If this is love then I repeat

It isn't fair for you to taunt me.
How can you make me care this way?
It isn't fair for you to want me
If it's just for today.

Why is it that you came into my life
And made it complete?
You gave me just a touch of high life;
If this is love then I repeat

It isn't fair for you to taunt me.
How can you make me care this way?
It isn't fair for you to want me
If it's just for today."
11,Eileen Barton,If I Knew You Were Coming I'd've Baked A Cake,
12,Kay Starr,Bonaparte's Retreat,"Met the man I love
In a town way down in Dixie
'Neath the stars above
He was the sweetest man you ever did see

When he held me in his arms
And told me of my many charms
He kissed me while the fiddles played
The Bonaparte's retreat

All the world was bright
When he held me on that night
And I heard him say
""Please don't ever go away""

When he held me in his arms
And told me of my many charms
He kissed me while the fiddles played
The Bonaparte's retreat

When he held me in his arms
And told me of my many charms
He kissed me while the fiddles played
The Bonaparte's retreat

All the world was bright
When he held me on that night
And I heard him say
""Please don't you go away""

He's gone and I'll admit I knew
That I had met my waterloo
I knew that he would say a do
With Bonaparte's retreat

Goodbye little boy
Goodbye little Joy
Goodbye little boy
So long little Joy
Goodbye little boy"
13,Gordon Jenkins and The Weavers,"Tzena, Tzena, Tzena",
14,Tony Martin,There's No Tomorrow,"There's no tomorrow when love is new
Now is forever when love is true
So kiss me and hold me tight
There's no tomorrow: there's just tonight

Love is a flower that blooms so tender
Each kiss a dew drop of sweet surrender
Love is a moment of life enchanting
Let's take that moment: that tonight is granting

There's no tomorrow when love is new
Now is forever when love is true
So kiss me and hold me tight
There's no tomorrow: there's just tonight"
15,Phil Harris,The Thing,"While I was walking down the beach one bright and sunny day
I saw a great big wooden box a-floatin' in the bay
I pulled it in and opened it up and much to my surprise
Ooh: I discovered a (*boom-boom-boom*) right before my eyes
Ooh: I discovered a (*boom-boom-boom*) right before my eyes

I picked it up and ran to town as happy as a king
I took it to a guy I knew who'd buy most any thing
But this is what he hollered at me as I walked in his shop
Ooh: get outta here with that (*boom-boom-boom*) before I call a cop
Ooh: get outta here with that (*boom-boom-boom*) before I call a cop

I turned around and got right out: a-runnin' for my life
And than I took it home with me to give it to my wife
But this is what she hollered at me as I walked in the door
Oh: get outta here with that (*boom-boom-boom*) and don't come back no more
Oh: get outta here with that (*boom-boom-boom*) and don't come back no more

I wandered all around the town until I chanced to meet
A hobo who was looking for a handout on the street
He said he'd take most any old thing: he was a desperate man
But when I showed him the (*boom-boom-boom*): he turned around and ran
Oh: when I showed him the (*boom-boom-boom*): he turned around and ran

I wandered on for many years: a victim of my fate
Until one day I came upon St. Peter at the gate
And when I tried to take it inside: he told me where to go
Get outta here with that (*boom-boom-boom*) and take it down below
Oh: get outta here with that (*boom-boom-boom*) and take it down below

The moral of this story is if you're out on the beach
And you should see a great big box and it's within your reach
Don't ever stop and open it up: that's my advice to you
'Cause you'll never get rid of the (*boom-boom-boom*): no matter what you do
Oh: you'll never get rid of the (*boom-boom-boom*): no matter what you do

(*boom-boom-boom* = 3 strikes on the drum)"
16,Ames Brothers,Sentimental Me,"Sentimental me
Guess I'll always be
So in love with you
Don't know what to do
Sentimental me

Dreaming while I live
Living just to give
All my love to you
No one else will do
Sentimental me

Reaching for the moon
And wishing on a star
On my honeymoon
I want to be where you are

Darling: can't you see
It was meant to be?
I'm in love with you
Say you love me: too
Sentimental me

Reaching for the moon (reaching for the moon)
And wishing on a star (wishing on a star)
On my honeymoon (on my honeymoon)
I want to be where you are

Darling: can't you see
It was meant to be?
I'm in love with you
Say you love me: too
Sentimental me"
