Position,Artist,Song_Title,Lyrics
17,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved,"I wanna be Loved
By Andrews Sisters

Ooh-ooh

Ooh-ooh

I wanna be loved:
(Ooh)
With inspiration!
(Ooh)
I wanna be loved:
Starting tonight!
(Ooh)

Instead of merely
(Ooh)
Holding conversation:
(Ooh)
Hold me tight!

I wanna be kissed:
(Ah)
Until I tingle!
(Ah)
I wanna be kissed:
(Ah)
Starting tonight!
(Ah)

Embrace until
Our heartbeats intermingle:
Wrong or right!

I feel like acting my age!
I'm passed the stage of merely turtle-doving!
(Be careful! Be careful what you do!)
I'm in no mood to resist:
And I insist the world owes me a loving!
(Ooh)

I wanna be thrilled
(Ooh)
To desperation!
(Ooh)
I wanna be thrilled:
(Ooh)
Starting tonight!
(Love me! Love me! Love me!)

With every kind of wonderful sensation!
I wanna be loved!
(Ah)

I feel like acting my age!
I'm passed the stage of merely turtle-doving!
I'm in no mood to resist:
And I insist the world owes me a loving!

I wanna be thrilled to desperation!
(I wanna be thrilled!I wanna be thrilled!)
I wanna be thrilled: starting tonight!
(I wanna be thrilled tonight!)

With every kind of wonderful sensation:
I wanna be loved!"
18,Patti Page,Tennessee Waltz,"I was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes: I lost my little darling the night they were playing
The beautiful Tennessee Waltz

I was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes: I lost my little darling the night they were playing
The beautiful Tennessee Waltz"
19,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can't I",
20,Tennessee Ernie Ford and Kay Starr,I'll Never Be Free,"Each time I hold someone new
My arms grow cold aching for you
No one can take your place
Darling in my embrace
I'll never be free

And when my lips burn with desire
No other kiss puts out the fire
Though I may try and try
No one can satisfy this longing in me

I'll never be free from your smile so tender
The sweet surrender in your eyes
How can I be free when I still remember
How you could thrill me with a sigh

Just like a chain bound to my heart
Your love remains when we're apart
Each kiss I gave to you
Made me a slave to you
I'll never be free"
21,Patti Page,All My Love,"All my love: I give you all my love
The skies may fall: my love
But I will still be true
All my sighs: will disappear at last
Now that you're here at last
My heart belongs to you

Oh ooh: never let me go
You thrill me so
I can see as I recall my life
I've waited all my life
To give you all my love

Ay: ay: ay
Ay: ay: ay
Ay: ay: ay
Ay: ay: ay

Bow: caballero: and tip your sombrero
To your se&#xF1;orita: the lovely Chiquita
Waiting so long for you and your song
While you are playing her heart will be swaying

She will surrender her kisses so tender
To you she will cling the moment that you sing

All my love: I give you all my love
The skies may fall: my love
But I will still be true
All my sighs will disappear at last
Now that you're here at last my heart belongs to you

Oh ooh: never let me go
You thrill me so
I can see as I recall my life
I've waited all my life
To give you all my love

Ay: ay: ay
Ay: ay: ay
Ay: ay: ay
Ay: ay: ay"
22,Gordon Jenkins,My Foolish Heart,
23,Ames Brothers,Rag Mop,"M
I say m-o
M-o-p
M-o-p-p
Mop
M-o-p-p
Mop: mop: mop: mop

R
I say r-a
R-a-g
R-a-g-g
Rag
R-a-g-g m-o-p-p
Rag mop

Doo-doo-doo-dah-dee-ah-dah
Rag mop
Doo-doo-doo-dah-dee-ah-dah
Rag mop
Doo-doo-doo-dah-dee-ah-dah
Rag mop
Doo-doo-doo-dah-dee-ah-dah
Rag mop
Doo-doo-doo-dah-dee-ah-dah
R-a-g-g m-o-p-p
Rag mop

I say a-b
A-b-c
A-b-c-d
A-b-c-d-e
A-b-c-d-e-f-g-h

I
I say m-o
M-o-p
M-o-p-p
Mop
M-o-P-P
Mop: mop: mop: mop

R
I say r-a
R-a-g
R-a-g-g
Rag
R-a-g-g m-o-p-p
Rag mop

Doo-doo-doo-dah-dee-ah-dah
Rag mop
Doo-doo-doo-dah-dee-ah-dah
Rag mop
Doo-doo-doo-dah-dee-ah-dah
Rag mop
Doo-doo-doo-dah-dee-ah-dah
Rag mop
Doo-doo-doo-dah-dee-ah-dah
R-a-g-g m-o-p-p
Rag mop: bop bop"
24,Bill Snyder,Bewitched,
25,Perry Como,Hoop-Dee-Doo,"Hoop dee doo: hoop dee doo:
I hear a polka an' my troubles are through!
Hoop dee doo: hoop dee dee:
This kind of music is like heaven to me!

Hoop dee doo: hoop dee doo:
It's got me higher than a kite:
Hand me down my soup an' fish
I am gonna get my wish: hoop dee doin' it tonight!

When there's a trombone playin'
I get a thrill: I always will!
When there's a concertina: stretched about a mile:
I always smile: 'cause that's my style!

When there's a fiddle in the middle
Oh! it really is a riddle: how he plays a tune so sweet!
Plays a tune so sweet that I could die:
Lead me to the floor an' hear me yell for more
'Cause I'm a hoop dee doin' kind of guy!

Hoop dee doo (Hoop dee doo!) hoop dee doo (Hoop dee doo!)
I hear a polka an' my troubles are through! (Ha: ha: ha ha!)
Hoop dee doo (Hoop dee doo!) hoop dee dee (Hoop dee dee!)
This kind of music is like heaven to me!

Hoop dee doo (Hoop dee doo!) hoop dee doo (Hoop dee doo!)
It's got me higher than a kite:


Hand me down my soup an' fish
I am gonna get my wish: hoop dee doin' it tonight!

When there's a trombone playin'
He gets a thrill! I get a thrill: I always will! He always will!
When there's a concertina ... stretched about a mile:
I always smile (You'll see him smile!) 'cause that's my style! ('Cause that's his style!)

When there's a fiddle in the middle
Oh! it really is a riddle: how he plays a tune so sweet!
Plays a tune so sweet that we could die!
Oh yes! ... lead me to the floor an' hear me yell for more
'Cause I'm a hoop dee doin' kind of guy!

Hoop dee doo: hoop dee doo:
It's got us higher than a kite:
We're in clover: we're in bloom
When we're dancin' give us room
Hoop dee doin' it with all of our might:
Rain may fall an' snow may come
Nothin's gonna stop us from
Hoop dee doin' it: hoop dee doin' it:
Hoop dee doin' it ... tonight!

Music by Milton de Lugg
With lyrics by Frank Loesser"
26,Gordon Jenkins,Bewitched,
27,Ames Brothers,Can Anyone Explain?,
28,Billy Eckstine,My Foolish Heart,"The night is like a lovely tune: beware my foolish heart
How white the ever constant moon: take care: my foolish heart

There's a line between love and fascination
That's hard to see on an evening such as this
For they give the very same sensation
When you are lost in the passion of a kiss
Your lips are much too close to mine: beware my foolish heart

But should our eager lips combine: then let the fire start
For this time it isn't fascination: or a dream that will fade and fall apart
It's love this time: it's love: my foolish heart"
29,Bing Crosby,Dear Hearts And Gentle People,"I love those dear hearts and gentle people
Who live in my home town
Because those dear hearts and gentle people
Will never ever let you down

They read the good book
From fri till Monday
That's how the weekend goes
I've got a dream house
I'll build there one day
With picket fence and ramblin rows

I feel so welcome each time I return
That my happy heart keeps laughing like a clown
I love the dear hearts and gentle people
Who live and love in my home town

There's a place I'd like to go
And it's back in idaho
Where you're friendly neighbors smile and say hello
It's a pleasure and a treat
To meandor down the street
That's why I want the whole wide world to know
I love those dear hearts
I love the gentle people
(Who live in my home town)
Because those dear hearts and gentle people
Will never ever let you down

They read the good book
From fri till Monday
That's how the weekend goes
I've got a dream house
I'll build there one day
With picket fence and ramblin rows

I feel so welcome each time I return
That my happy heart keeps laughing like a clown
I love the dear hearts and gentle people
Who live and love in my home town

(Home home sweet home
Home home sweet home)
Home home sweet home
Home home sweet home"
30,Frankie Laine,Cry Of The Wild Goose,"My heart knows what the wild goose knows:
I must go where the wild goose goes.
Wild goose: brother goose: which is best?
A wanderin' foot or a heart at rest? 

Tonight I heard the wild goose cry:
Wingin' north in the lonely sky.
Tried to sleep: it weren't no use:
'Cause I am a brother to the old wild goose: 

(Oh: my heart knows what the wild goose knows:)
(And I must go where the wild goose goes.)
(Wild goose: brother goose: which is best?)
(A wanderin' foot or a heart at rest?) 

Woman was kind and true to me.
She thinks she loves me: the more fool she.
She's got a love that ain't no use:
To love a brother of the old wild goose. 

(My heart knows what the wild goose knows:)
(And I must go where the wild goose goes.)
(Wild goose: brother goose: which is best?)
(A wanderin' foot or a heart at rest?)
(Oh: you wild goose.) 

The cabin is warm and the snow is deep:
I got a woman who lies asleep.
She'll wake at tomorrow's dawn:
She'll find: poor critter: that her man is gone.
(Oh: you wild goose.) 

My heart knows what the wild goose knows:
I must go where the wild goose goes.
Wild goose: brother goose: which is best?
A wanderin' foot or a heart at rest?
Let me fly: let me fly: let me fly away. 

Spring is comin' and the ice will break:
I can't linger for a woman's sake.
She'll see a shadow pass overhead.
She'll find my feathers beside my bed. 

(My heart knows what the wild goose knows:)
(And I must go where the wild goose goes.)
Wild goose: brother goose: which is best?
A wanderin' foot or a heart at rest? 

(Wild goose: wild goose: wild goose: wild goose.)"
